"TAGGS Recipient Search Export
Data Fiscal Year = 2020; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
LEDGE LIGHT HEALTH DISTRICT,829794598,NEW LONDON,CT,63205335,NEW LONDON,United States of America,Health Department,County Government,"($37,625)"
West Hartford Bloomfield Health District,37442956,Bloomfield,CT,6002,HARTFORD,United States of America,Health Department,State Government,"$70,000 "
Marin City Health and Wellness Center,830668880,SAUSALITO,CA,949651107,MARIN,United States of America,Hospital,City Government,"$3,919,419 "
CT ST DEPT OF PUBLIC HEALTH,79102530,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$499,381 "
CT ST DEPT OF PUBLIC HEALTH,807853791,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$284,537,984 "
CT ST DEPARTMENT OF MENTAL HEALTH & ADDICTION SVCS,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$31,753,084 "
CT ST DEPARTMENT OF MENTAL RETARDATION,807852694,HARTFORD,CT,61061308,HARTFORD,United States of America,Other Health Organization,State Government,"$728,678 "
CT ST DEPT OF MENTAL HLTH & ADDICITION SERVICES,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Other Health Organization,State Government,"$18,609,574 "
OFFICE OF HEALTH STRATEGY,80974802,HARTFORD,CT,6144,HARTFORD,United States of America,Other Health Organization,State Government,"$299,837 "
"HARTFORD CITY, DEPARTMENT OF HEALTH",198349602,HARTFORD,CT,6112,HARTFORD,United States of America,Health Department,City Government,"$4,298,352 "
NEW HAVEN CITY DEPARTMENT OF PUBLIC HEALTH,75396754,NEW HAVEN,CT,6519,NEW HAVEN,United States of America,Health Department,City Government,"$5,647,476 "
STRATFORD DEPARTMENT OF HEALTH,72134414,STRATFORD,CT,6497,FAIRFIELD,United States of America,Health Department,City Government,"$110,767 "
Town of Suffield,839851115,SUFFIELD,CT,60783074,HARTFORD,United States of America,Other Health Organization,City Government,"$247,500 "
NH DHHS Office of Minority Health,11040545,CONCORD,NH,33013857,MERRIMACK,United States of America,Other Health Organization,State Government,$0 
FLUSHING HOSPITAL & MEDICAL CENTER,72751001,FLUSHING,NY,11355,QUEENS,United States of America,Hospital,City Government,"$3,991,814 "
NASSAU COUNTY HEALTH DEPARTMENT,60656886,MINEOLA,NY,115014245,NASSAU,United States of America,Health Department,County Government,"$5,544,892 "
SUFFOLK COUNTY DEPARTMENT OF HEALTH SERVICES,129090267,HAUPPAUGE,NY,11788,SUFFOLK,United States of America,Health Department,County Government,$0 
Columbus Public Health Clinical Division,932901762,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,City Government,"$300,000 "
"New York Blood Center, Inc.",73271827,NEW YORK,NY,10021,NEW YORK,United States of America,Other Health Organization,City Government,"$12,119,234 "
"PLANNED PARENTHOOD OF NEW YORK CITY, INC",71008353,NEW YORK,NY,100122413,NEW YORK,United States of America,Other Health Organization,City Government,"$2,299,723 "
ELMHURST HOSPITAL CENTER/NYC HEALTH & HOPITAL COPR.,86060423,ELMHURST,NY,11373,QUEENS,United States of America,Hospital,City Government,"$1,243,410 "
"COUTY OF ROCKLAND, DEPARTMENT OF FINANCE",75437848,NEW CITY,NY,10956,ROCKLAND,United States of America,Other Health Organization,County Government,$0 
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,CHURCH STREET,NY,100071307,NEW YORK,United States of America,Health Department,City Government,"$1,008,717,172 "
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,NEW YORK,NY,10013,NEW YORK,United States of America,Health Department,City Government,"$9,187,625 "
"HEALTH RESEARCH, INC.",2436061,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$945,691,179 "
"HEALTH RESEARCH, INC.",153695478,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$10,661,467 "
"HEALTH RESEARCH, INC.",153695809,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$25,955,546 "
"HEALTH RESEARCH, INC.",157119657,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$25,803,672 "
"HEALTH RESEARCH, INC.",620832753,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$6,369,961 "
"NY ST DEPARTMENT OF HEALTH & HEALTH RESEARCH, INC",157119657,BUFFALO,NY,14263,ERIE,United States of America,Health Department,State Government,$0 
"City of Middletown, New York",79981451,MIDDLETOWN,NY,109405724,ORANGE,United States of America,Hospital,City Government,"($3,507)"
UNIVERSITY HOSPITAL OF DOWNSTATE MEDICAL CENTER,40796328,NEW YORK-KINGS,NY,11203,KINGS,United States of America,Hospital,State Government,"$27,494,779 "
UNIVERSITY HOSPITAL OF UPSTATE MEDICAL CENTER,58889106,SYRACUSE,NY,132102342,ONONDAGA,United States of America,Hospital,State Government,"$18,865,245 "
SUNY - BROOKLYN HEALTH SCIENCE CTR,627307069,NEW YORK,NY,11203,TOMPKINS,United States of America,Hospital,State Government,"$648,720 "
NY ST COMMISSION ON QUALITY OF CARE,138927319,SCHENECTADY,NY,123052397,SCHENECTADY,United States of America,Other Health Organization,State Government,"$797,014 "
NYS Office of Mental Health,135407026,ALBANY,NY,12229,ALBANY,United States of America,Health Department,State Government,"$40,640,616 "
NYS Office of Mental Health,167202410,ALBANY,NY,12229,ALBANY,United States of America,Health Department,State Government,"$4,242,500 "
NYS Office of Alcoholism and Substance Abuse Services,136153207,ALBANY,NY,122033526,ALBANY,United States of America,Health Department,State Government,"$112,232,468 "
DC DEPARTMENT OF MENTAL HEALTH,14384031,WASHINGTON,DC,200023329,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$1,784,067 "
Department of Behavioral Health & Developmental Service,627383102,RICHMOND,VA,23218,**RICHMOND,United States of America,Health Department,State Government,"$825,000 "
CAYUGA COUNTY MENTAL HEALTH CENTER,809609410,AUBURN,NY,13021,CAYUGA,United States of America,Hospital,County Government,$0 
Madison County,75824151,WAMPSVILLE,NY,13163,MADISON,United States of America,Health Department,County Government,$0 
ONONDAGA COUNTY DEPARTMENT OF HEALTH,25345039,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$979,999 "
ONONDAGA COUNTY DEPARTMENT OF HEALTH,781693569,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$1,000,000 "
County of Otsego,947057733,ONEONTA,NY,138202527,OTSEGO,United States of America,Other Health Organization,County Government,"$999,996 "
County of Schuyler,39551270,WATKINS GLEN,NY,14891,SCHUYLER,United States of America,Health Department,County Government,"$42,099 "
"FAMILY HEALTH NETWORK OF CENTRAL NEW YORK, INC",55922041,CORTLAND,NY,13045,CORTLAND,United States of America,Other Health Organization,County Government,"$3,539,673 "
Chautauqua County Department of Mental Hygiene,74035726,MAYVILLE,NY,14757,CHAUTAUQUA,United States of America,Other Health Organization,County Government,"$2,945,179 "
ERIE COUNTY MEDICAL CENTER,879196178,BUFFALO,NY,142153021,ERIE,United States of America,Hospital,County Government,"$746,705 "
MONROE COUNTY HEALTH DEPARTMENT,79678249,ROCHESTER,NY,146928932,MONROE,United States of America,Health Department,County Government,"$394,490 "
Niagara County Department of Mental Health,67523886,LOCKPORT,NY,140941895,NIAGARA,United States of America,Health Department,County Government,$0 
WYOMING COUNTY MENTAL HEALTH DEPARTMENT,85683423,WARSAW,NY,14569,WYOMING,United States of America,Health Department,County Government,"$49,955 "
Families Together Of Orange County,190412986,Tustin,CA,927802939,ORANGE,United States of America,Other Health Organization,County Government,"$209,657 "
REGION 6 BEHAVIORAL HEALTH CARE,42010525,OMAHA,NE,681371701,DOUGLAS,United States of America,Health Department,County Government,"$999,627 "
Faces and Voices of Recovery South Carolina,832733237,WEST COLUMBIA,SC,29169,LEXINGTON,United States of America,Other Health Organization,State Government,$0 
"Adams County Health Center, Inc.",20924403,COUNCIL,ID,83612,ADAMS,United States of America,Hospital,County Government,"$3,076,261 "
"ATLANTIC, COUNTY OF",79497897,ATLANTIC CITY,NJ,84017212,ATLANTIC,United States of America,Other Health Organization,County Government,"$500,000 "
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,19734826,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$3,739,963 "
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,806418075,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$809,261,857 "
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,806418257,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"($2,260,000)"
NJ ST DEPARTMENT OF PUBLIC HEALTH,806418075,TRENTON,NJ,8625,MERCER,United States of America,Health Department,State Government,"$8,976,763 "
NJ ST Dept of Children and Families,784995503,TRENTON,NJ,8625,MERCER,United States of America,Other Health Organization,State Government,"$282,442,094 "
City of Vineland Department of Health,73739955,VINELAND,NJ,83621508,CUMBERLAND,United States of America,Health Department,City Government,$0 
HACKENSACK MEDICAL CENTER,42797571,HACKENSACK,NJ,7601,BERGEN,United States of America,Other Health Organization,City Government,"$22,936,236 "
"PATERSON, CITY OF (INC)",67484063,PATERSON,NJ,75051414,PASSAIC,United States of America,Health Department,City Government,$0 
"PATERSON, CITY OF (INC)",968116319,PATERSON,NJ,75051414,PASSAIC,United States of America,Health Department,City Government,"$4,158,583 "
"SECAUCUS, TOWN OF",80619414,SECAUCUS,NJ,70943226,HUDSON,United States of America,Health Department,City Government,"$125,000 "
"Franklin County Head Start Program, Inc.",193663762,CHAMBERSBURG,PA,17201,FRANKLIN,United States of America,Other Health Organization,County Government,"$3,905,384 "
UPMC Altoona,72166259,ALTOONA,PA,166014899,BLAIR,United States of America,Hospital,City Government,"$405,955 "
LANCASTER GENERAL HOSPITAL,69784924,LANCASTER,PA,17603,LANCASTER,United States of America,Hospital,City Government,"$361,481 "
CMSU BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES,160217188,DANVILLE,PA,178210219,MONTOUR,United States of America,Other Health Organization,County Government,"$1,501,840 "
PHILADELPHIA CITY DEPT OF PUBLIC HEALTH ENVIRONMENT,136968026,PHILADELPHIA,PA,19146,PHILADELPHIA,United States of America,Health Department,City Government,"$350,366 "
CITY OF PHILADELPHIA DEPT OF BEHAV HLTH INTELL DIS SERV,809134484,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Hospital,City Government,"$1,400,000 "
PA ST DEPARTMENT OF HEALTH,614489839,HARRISBURG,PA,17105,DAUPHIN,United States of America,Health Department,State Government,"$421,662,719 "
PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,614489839,HARRISBURG,PA,17101,DAUPHIN,United States of America,Health Department,State Government,"$90,369,181 "
"Health, Pennsylvania Department Of",614489839,HARRISBURG,PA,171200701,DAUPHIN,United States of America,Other Health Organization,State Government,"$2,796,549 "
PA ST DHS Office of Mental Health and Substance Abuse,796567790,HARRISBURG,PA,171103593,DAUPHIN,United States of America,Other Health Organization,State Government,"$6,135,476 "
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$10,593,102 "
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$12,751,152 "
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,624614876,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$1,595,000 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,106979198,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,$0 
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$24,468,020 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$98,958,247 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,621122852,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$1,989,485 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,624047689,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$1,611,755 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,624614876,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$499,829 "
"NORTHERN OSWEGO COUNTY HEALTH SERVICES, INC",38366357,PULASKI,NY,131421200,OSWEGO,United States of America,Other Health Organization,County Government,"$4,470,237 "
"CODAC HEALTH, RECOVERY, & WELLNESS, INC.",139453005,TUCSON,AZ,857192374,PIMA,United States of America,Other Health Organization,County Government,"($125,000)"
TIBURCIO VASQUEZ HEALTH CENTER,102906120,UNION CITY,CA,945872137,ALAMEDA,United States of America,Other Health Organization,City Government,"$4,306,381 "
KENNETH YOUNG CENTER,83078667,ELK GROVE VILLAG,IL,60007,COOK,United States of America,Hospital,County Government,"($75,000)"
GARRETT COUNTY HEALTH DEPARTMENT,136568941,OAKLAND,MD,21550,GARRETT,United States of America,Health Department,County Government,"$50,000 "
NATIONAL EMERGENCY MANAGEMENT ASSOCIATION,77303399,LEXINGTON,KY,405781910,FAYETTE,United States of America,Hospital,County Government,$0 
County of Luzerne,60513058,WILKES BARRE,PA,187110001,LUZERNE,United States of America,Other Health Organization,County Government,"$1,000,000 "
BUTLER HEALTHCARE PROVIDERS,68718253,BUTLER,PA,160014670,BUTLER,United States of America,Hospital,County Government,"$199,908 "
"CENTERVILLE CLINIC, INC",30064141,FREDERICKTOWN,PA,15333,WASHINGTON,United States of America,Other Health Organization,City Government,"$8,103,424 "
"HUNTINGDON COUNTY CHILD DEVELOPMENT, INC",86729514,HUNTINGDON,PA,16652,HUNTINGDON,United States of America,Other Health Organization,County Government,"$2,670,686 "
Mercer County Behavioral Health Commission,832693345,MERCER,PA,161373138,MERCER,United States of America,Other Health Organization,County Government,"($19,982)"
CLARION UNIVERSITY OF PENNSYLVANIA,72153737,CLARION,PA,16214,CLARION,United States of America,Hospital,State Government,"$457,378 "
ALLEGHENY COUNTY HEALTH DEPARTMENT,1905736,PITTSBURGH,PA,15219,ALLEGHENY,United States of America,Health Department,County Government,"$7,684,905 "
Beaver County Behavioral Health,68754019,BEAVER FALLS,PA,15010,BEAVER,United States of America,Health Department,County Government,$0 
"Georgia Partnership for Telehealth, Inc.",15505792,WAYCROSS,GA,31501,WARE,United States of America,Other Health Organization,State Government,"$1,153,571 "
Texas Health Services Authority,962597386,AUSTIN,TX,787356204,TRAVIS,United States of America,Health Department,State Government,"$497,034 "
SoberHood,31479549,AUSTIN,TX,78722,TRAVIS,United States of America,Other Health Organization,State Government,$0 
Bartz-Altadonna Community Health Center,965016087,LANCASTER,CA,935343105,LOS ANGELES,United States of America,Hospital,State Government,"$4,064,888 "
KANSAS HEALTH INFORMATION NETWORK INC,78312057,TOPEKA,KS,666121627,SHAWNEE,United States of America,Health Department,State Government,"$500,000 "
Barry County Community Mental Health Authority (BCCMHA),829789879,HASTINGS,MI,49058,BARRY,United States of America,Other Health Organization,State Government,"($5,648)"
"Greeley County Health Services, Inc",612532296,TRIBUNE,KS,678799684,GREELEY,United States of America,Health Department,County Government,$0 
"WIRT COUNTY HEALTH SERVICES ASSOCIATION, INC",99515637,ELIZABETH,WV,26143,WIRT,United States of America,Other Health Organization,County Government,"$3,700,125 "
MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,57515249,UNION,WV,24983,MONROE,United States of America,Other Health Organization,County Government,"$745,963 "
MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,78655261,UNION,WV,24983,MONROE,United States of America,Other Health Organization,County Government,"$2,758,574 "
STATE OF OHIO - DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$317,405,815 "
STATE OF OHIO - DEPARTMENT OF HEALTH,809172653,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$2,219,159 "
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$99,922,465 "
Hamilton County General Health Dist,118242028,CINCINNATI,OH,45219,HAMILTON,United States of America,Other Health Organization,County Government,"$5,096,920 "
Hamilton County Mental Health and Recovery Svcs Board,125496922,CINCINNATI,OH,45219,HAMILTON,United States of America,Health Department,County Government,"$375,621 "
CINCINNATI CITY HEALTH DEPARTMENT,134652473,CINCINNATI,OH,45229,HAMILTON,United States of America,Health Department,City Government,"$5,970,174 "
ADAMS COUNTY AUDITOR,831324686,WEST UNION,OH,45693,ADAMS,United States of America,Health Department,County Government,"$250,000 "
FRANKLIN COUNTY BOARD OF MENTAL HEALTH & RETARDATION,46430641,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,County Government,"$192,587 "
"FRANKLIN COUNTY ALCOHOL, DRUG & MENTAL HEALTH BOARD",46430641,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,County Government,"($3,974,855)"
"FRANKLIN COUNTY ALCOHOL, DRUG & MENTAL HEALTH BOARD",135778574,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,County Government,"$293,789 "
Franklin County Board Of Commissioners,46430641,COLUMBUS,OH,432154591,FRANKLIN,United States of America,Health Department,County Government,"$7,484,710 "
"COLUMBUS, CITY OF",932901762,COLUMBUS,OH,432155331,FRANKLIN,United States of America,Health Department,City Government,"$6,796,483 "
"Columbus, City Of",51369916,COLUMBUS,OH,432159000,FRANKLIN,United States of America,Other Health Organization,City Government,"$500,000 "
Portsmouth City Health Department,92155043,PORTSMOUTH,OH,456623919,SCIOTO,United States of America,Health Department,City Government,"($39,684)"
OH ST DEPARTMENT OF MENTAL HEALTH,808847669,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$21,396,394 "
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$46,746,041 "
OH ST DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$7,150,754 "
OH ST DEPARTMENT OF MNTL RETARD & DEVPMT`L DISABILITIES,943161976,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,State Government,"$2,913,208 "
FOUR CORNERS HEALTH DEPARTMENT,155954550,YORK,NE,684671027,YORK,United States of America,Health Department,State Government,"$200,000 "
TX DEPT OF STATE HEALTH SERVICES,807391511,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"$746,287,922 "
INTERNATIONAL ANESTHESIA RESEARCH SOCIETY INC,97625685,SAN FRANCISCO,CA,94111,SAN FRANCISCO,United States of America,Other Health Organization,State Government,"$200,000 "
HOLMES COUNTY GENERAL HEALTH DISTRICT,967383865,MILLERSBURG,OH,446541166,HOLMES,United States of America,Other Health Organization,County Government,($101)
ASHTABULA COUNTY OF,85560394,ASHTABULA,OH,44004,ASHTABULA,United States of America,Hospital,County Government,"($124,911)"
CLEVELAND CITY DIVISION OF HEALTH,884644881,CLEVELAND,OH,44114,CUYAHOGA,United States of America,Health Department,City Government,"$1,081,411 "
CUYAHOGA COUNTY BOARD OF HEALTH,142289581,CLEVELAND,OH,44115,CUYAHOGA,United States of America,Health Department,County Government,"$10,837,697 "
Summit Combined General Health District,605748755,STOW,OH,442242933,SUMMIT,United States of America,Health Department,County Government,"$1,777,468 "
MetroHealth System,71124291,CLEVELAND,OH,441091998,CUYAHOGA,United States of America,Hospital,County Government,"$610,227 "
LUCAS COUNTY HEALTH DEPARTMENT,103033317,TOLEDO,OH,43624,LUCAS,United States of America,Health Department,County Government,"$1,144,121 "
SANDUSKY COUNTY HEALTH DEPARTMENT,804883700,FREMONT,OH,434208560,SANDUSKY,United States of America,Health Department,County Government,"$350,000 "
WOOD COUNTY HEALTH DEPARTMENT,782014708,BOWLING GREEN,OH,434029173,WOOD,United States of America,Health Department,County Government,"$1,977,469 "
Mental Health America of Indiana,72033475,INDIANAPOLIS,IN,46202,MARION,United States of America,Other Health Organization,State Government,$0 
"OTIS R BOWEN CENTER FOR HUMAN SERVICES, INC",69754737,WARSAW,IN,46580,KOSCIUSKO,United States of America,Other Health Organization,County Government,"$200,000 "
