Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards,Year
City of Worcester,65782575,WORCESTER,MA,1608,WORCESTER,United States of America,Other Health Organization,City Government,"$780,649 ",2019
MA ST DEPARTMENT OF MENTAL HEALTH,73130932,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$14,175,237 ",2019
MA ST DEPARTMENT OF MENTAL HEALTH,878369362,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$4,254,738 ",2019
MA ST DEPARTMENT OF PUBLIC HEALTH,4726456,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$2,153,265 ",2019
MA ST DEPARTMENT OF PUBLIC HEALTH,73130932,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$40,180,028 ",2019
MA ST DEPARTMENT OF PUBLIC HEALTH,878298900,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$184,299,301 ",2019
"PLYMOUTH, COUNTY OF, INC.",790427798,BROCKTON,MA,23031665,PLYMOUTH,United States of America,Other Health Organization,State Government,$0 ,2019
"Newport County Community Mental Health Center, Inc.",99421919,MIDDLETOWN,RI,28425674,NEWPORT,United States of America,Hospital,County Government,"$2,000,000 ",2019
"Fund for Public Health in New York, Inc.",167227789,NEW YORK,NY,100071855,NEW YORK,United States of America,Health Department,City Government,"$5,733,606 ",2019
"Fund For Public Health In New York, Inc.",167227789,NEW YORK,NY,100073107,NEW YORK,United States of America,Other Health Organization,State Government,"$2,359,358 ",2019
Town of Middletown,34316760,MIDDLETOWN,RI,2842,NEWPORT,United States of America,Other Health Organization,City Government,"$125,000 ",2019
RI ST DEPARTMENT OF HEALTH,111414541,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"($376,558)",2019
RI ST DEPARTMENT OF HEALTH,111414582,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$179,270 ",2019
RI ST DEPARTMENT OF HEALTH,145310553,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$4,819,318 ",2019
RI ST DEPARTMENT OF HEALTH,929922664,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$46,716,340 ",2019
"RI ST DEPARTMENT OF MENTAL HEALTH, RETARDATION & HOSP",111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Health Department,State Government,"$26,192,710 ",2019
RI ST DEPT OF BEHAV HEALTHCARE DEV DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,$0 ,2019
RI ST DEPT OF BEHAV HEALTHCARE DEVELOPMENTAL DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,"$2,825,000 ",2019
CITY OF WOONSOCKET TASK FORCE ON SUBSTANCE ABUSE,62308804,WOONSOCKET,RI,2895,PROVIDENCE,United States of America,Other Health Organization,City Government,"($14,343)",2019
"PLANNED PARENTHOOD OF SOUTHERN NEW ENGLAND, INC",72132368,NEW HAVEN,CT,65112348,NEW HAVEN,United States of America,Other Health Organization,State Government,"$691,019 ",2019
DANBURY HOSPITAL,75394080,DANBURY,CT,6810,FAIRFIELD,United States of America,Hospital,City Government,"$2,128,373 ",2019
YALE NEW HAVEN HOSPITAL,75406561,NEW HAVEN,CT,65048900,NEW HAVEN,United States of America,Hospital,City Government,"$664,121 ",2019
HARTFORD HOSPITAL,65533796,HARTFORD,CT,6115,HARTFORD,United States of America,Hospital,City Government,"$2,138,392 ",2019
MANCHESTER MEMORIAL HOSPITAL,77325645,MANCHESTER,CT,60404131,HARTFORD,United States of America,Hospital,City Government,($1),2019
CORNELL SCOTT HILL HEALTH CORPORATION,10156370,NEW HAVEN,CT,65191233,NEW HAVEN,United States of America,Other Health Organization,City Government,"$8,553,175 ",2019
LEDGE LIGHT HEALTH DISTRICT,829794598,NEW LONDON,CT,63205335,NEW LONDON,United States of America,Health Department,County Government,"$195,000 ",2019
Marin City Health and Wellness Center,830668880,SAUSALITO,CA,949651107,MARIN,United States of America,Hospital,City Government,"$2,512,925 ",2019
CT ST DEPT OF PUBLIC HEALTH,807853791,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$62,689,005 ",2019
CT ST DEPARTMENT OF MENTAL HEALTH & ADDICTION SVCS,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$29,154,830 ",2019
CT ST DEPARTMENT OF MENTAL RETARDATION,807852694,HARTFORD,CT,61061308,HARTFORD,United States of America,Other Health Organization,State Government,"$731,772 ",2019
CT ST DEPT OF MENTAL HLTH & ADDICITION SERVICES,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Other Health Organization,State Government,"$18,543,848 ",2019
CT ST DEPARTMENT OF HEALTH,807853791,BRIDGEPORT,CT,6604,FAIRFIELD,United States of America,Health Department,State Government,"($198,159)",2019
OFFICE OF HEALTH STRATEGY,80974802,HARTFORD,CT,6144,HARTFORD,United States of America,Other Health Organization,State Government,"$8,712,288 ",2019
"HARTFORD CITY, DEPARTMENT OF HEALTH",198349602,HARTFORD,CT,6112,HARTFORD,United States of America,Health Department,City Government,"$4,978,060 ",2019
NEW HAVEN CITY DEPARTMENT OF PUBLIC HEALTH,75396754,NEW HAVEN,CT,6519,NEW HAVEN,United States of America,Health Department,City Government,"$5,636,567 ",2019
STRATFORD DEPARTMENT OF HEALTH,72134414,STRATFORD,CT,6497,FAIRFIELD,United States of America,Health Department,City Government,$0 ,2019
Town of Suffield,839851115,SUFFIELD,CT,60783074,HARTFORD,United States of America,Other Health Organization,City Government,"$247,500 ",2019
NASSAU COUNTY HEALTH DEPARTMENT,60656886,MINEOLA,NY,115014245,NASSAU,United States of America,Health Department,County Government,"$5,493,479 ",2019
SUFFOLK COUNTY DEPARTMENT OF HEALTH SERVICES,129090267,HAUPPAUGE,NY,11788,SUFFOLK,United States of America,Health Department,County Government,"$70,000 ",2019
Columbus Public Health Clinical Division,932901762,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,City Government,"$250,000 ",2019
"New York Blood Center, Inc.",73271827,NEW YORK,NY,10021,NEW YORK,United States of America,Other Health Organization,City Government,"$6,924,352 ",2019
ELMHURST HOSPITAL CENTER/NYC HEALTH & HOPITAL COPR.,86060423,ELMHURST,NY,11373,QUEENS,United States of America,Hospital,City Government,"$1,021,423 ",2019
"COUTY OF ROCKLAND, DEPARTMENT OF FINANCE",75437848,NEW CITY,NY,10956,ROCKLAND,United States of America,Other Health Organization,County Government,"$936,456 ",2019
WESTCHESTER COUNTY DEPARTMENT OF HEALTH,72705213,NEW ROCHELLE,NY,10801,WESTCHESTER,United States of America,Health Department,County Government,"($225,000)",2019
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,CHURCH STREET,NY,100071307,NEW YORK,United States of America,Health Department,City Government,"$163,217,014 ",2019
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,NEW YORK,NY,10013,NEW YORK,United States of America,Health Department,City Government,"$8,881,723 ",2019
"HEALTH RESEARCH, INC.",2436061,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$232,740,350 ",2019
"HEALTH RESEARCH, INC.",153695478,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$15,323,323 ",2019
"HEALTH RESEARCH, INC.",153695809,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$17,061,716 ",2019
"HEALTH RESEARCH, INC.",157119244,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"($69,212)",2019
"HEALTH RESEARCH, INC.",157119657,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$24,912,466 ",2019
"HEALTH RESEARCH, INC.",620832753,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$5,252,081 ",2019
Schenectady County (Public Health Services),102574808,SCHENECTADY,NY,12305,SCHENECTADY,United States of America,Health Department,County Government,"($124,568)",2019
UNIVERSITY HOSPITAL OF DOWNSTATE MEDICAL CENTER,40796328,NEW YORK-KINGS,NY,11203,KINGS,United States of America,Hospital,State Government,"$23,888,591 ",2019
UNIVERSITY HOSPITAL OF UPSTATE MEDICAL CENTER,58889106,SYRACUSE,NY,132102342,ONONDAGA,United States of America,Hospital,State Government,"$20,411,942 ",2019
NY ST COMMISSION ON QUALITY OF CARE,138927319,SCHENECTADY,NY,123052397,SCHENECTADY,United States of America,Other Health Organization,State Government,"$768,950 ",2019
NYS Office of Mental Health,135407026,ALBANY,NY,12229,ALBANY,United States of America,Health Department,State Government,"$44,848,740 ",2019
NYS Office of Alcoholism and Substance Abuse Services,136153207,ALBANY,NY,122033526,ALBANY,United States of America,Health Department,State Government,"$112,176,055 ",2019
DC DEPARTMENT OF MENTAL HEALTH,14384031,WASHINGTON,DC,200023329,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$2,040,150 ",2019
Department of Behavioral Health & Developmental Service,627383102,RICHMOND,VA,23218,**RICHMOND,United States of America,Health Department,State Government,"$824,827 ",2019
CAYUGA COUNTY MENTAL HEALTH CENTER,809609410,AUBURN,NY,13021,CAYUGA,United States of America,Hospital,County Government,"$1,000,000 ",2019
Madison County,75824151,WAMPSVILLE,NY,13163,MADISON,United States of America,Health Department,County Government,"$104,700 ",2019
ONONDAGA COUNTY DEPARTMENT OF HEALTH,25345039,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$950,000 ",2019
ONONDAGA COUNTY DEPARTMENT OF HEALTH,781693569,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$1,000,000 ",2019
County of Otsego,947057733,ONEONTA,NY,138202527,OTSEGO,United States of America,Other Health Organization,County Government,"$999,996 ",2019
County of Schuyler,39551270,WATKINS GLEN,NY,14891,SCHUYLER,United States of America,Health Department,County Government,$0 ,2019
"FAMILY HEALTH NETWORK OF CENTRAL NEW YORK, INC",55922041,CORTLAND,NY,13045,CORTLAND,United States of America,Other Health Organization,County Government,"$2,404,365 ",2019
ROCHESTER BUREAU OF HUMAN SERVICES,2465805,ROCHESTER,NY,14614,MONROE,United States of America,Health Department,City Government,"$731,337 ",2019
Chautauqua County Department of Mental Hygiene,74035726,MAYVILLE,NY,14757,CHAUTAUQUA,United States of America,Other Health Organization,County Government,"$2,000,000 ",2019
ERIE COUNTY MEDICAL CENTER,879196178,BUFFALO,NY,142153021,ERIE,United States of America,Hospital,County Government,"$771,142 ",2019
ERIE COUNTY HEALTH DEPARTMENT,92960785,BUFFALO,NY,14202,ERIE,United States of America,Health Department,County Government,"$100,000 ",2019
MONROE COUNTY HEALTH DEPARTMENT,79678249,ROCHESTER,NY,146928932,MONROE,United States of America,Health Department,County Government,"$394,490 ",2019
Niagara County Department of Mental Health,67523886,LOCKPORT,NY,140941895,NIAGARA,United States of America,Health Department,County Government,"$290,341 ",2019
Faces and Voices of Recovery South Carolina,832733237,WEST COLUMBIA,SC,29169,LEXINGTON,United States of America,Other Health Organization,State Government,"$175,000 ",2019
"Adams County Health Center, Inc.",20924403,COUNCIL,ID,83612,ADAMS,United States of America,Hospital,County Government,"$1,318,355 ",2019
"ATLANTIC, COUNTY OF",79497897,ATLANTIC CITY,NJ,84017212,ATLANTIC,United States of America,Other Health Organization,County Government,"$500,000 ",2019
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,19734826,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$4,343,093 ",2019
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,806418075,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$113,877,381 ",2019
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,806418257,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"($125,000)",2019
NJ ST DEPARTMENT OF PUBLIC HEALTH,806418075,TRENTON,NJ,8625,MERCER,United States of America,Health Department,State Government,"$5,369,813 ",2019
NJ ST Dept of Children and Families,784995503,TRENTON,NJ,8625,MERCER,United States of America,Other Health Organization,State Government,"$304,326,087 ",2019
City of Vineland Department of Health,73739955,VINELAND,NJ,83621508,CUMBERLAND,United States of America,Health Department,City Government,"$48,638 ",2019
HACKENSACK MEDICAL CENTER,42797571,HACKENSACK,NJ,7601,BERGEN,United States of America,Other Health Organization,City Government,"$24,029,562 ",2019
New Jersey Health Care Facilities Financing Authority,154130199,TRENTON,NJ,8625,MERCER,United States of America,Other Health Organization,State Government,$0 ,2019
"PATERSON, CITY OF (INC)",67484063,PATERSON,NJ,75051414,PASSAIC,United States of America,Health Department,City Government,"$300,000 ",2019
"PATERSON, CITY OF (INC)",968116319,PATERSON,NJ,75051414,PASSAIC,United States of America,Health Department,City Government,"$4,007,179 ",2019
"SECAUCUS, TOWN OF",80619414,SECAUCUS,NJ,70943226,HUDSON,United States of America,Health Department,City Government,$0 ,2019
"Franklin County Head Start Program, Inc.",193663762,CHAMBERSBURG,PA,17201,FRANKLIN,United States of America,Other Health Organization,County Government,"$3,428,752 ",2019
UPMC Altoona,72166259,ALTOONA,PA,166014899,BLAIR,United States of America,Hospital,City Government,"$343,028 ",2019
LANCASTER GENERAL HOSPITAL,69784924,LANCASTER,PA,17603,LANCASTER,United States of America,Hospital,City Government,"$287,820 ",2019
CMSU BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES,160217188,DANVILLE,PA,178210219,MONTOUR,United States of America,Other Health Organization,County Government,"$1,501,840 ",2019
PHILADELPHIA CITY DEPT OF PUBLIC HEALTH ENVIRONMENT,136968026,PHILADELPHIA,PA,19146,PHILADELPHIA,United States of America,Health Department,City Government,"$262,775 ",2019
CITY OF PHILADELPHIA DEPT OF BEHAV HLTH INTELL DIS SERV,809134484,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Hospital,City Government,"$1,707,692 ",2019
PA ST DEPARTMENT OF HEALTH,614489839,HARRISBURG,PA,17105,DAUPHIN,United States of America,Health Department,State Government,"$49,814,532 ",2019
PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,614489839,HARRISBURG,PA,17101,DAUPHIN,United States of America,Health Department,State Government,"$87,527,236 ",2019
"Health, Pennsylvania Department Of",614489839,HARRISBURG,PA,171200701,DAUPHIN,United States of America,Other Health Organization,State Government,"$798,958 ",2019
PA ST DHS Office of Mental Health and Substance Abuse,796567790,HARRISBURG,PA,171103593,DAUPHIN,United States of America,Other Health Organization,State Government,"$5,921,075 ",2019
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$7,605,146 ",2019
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$6,164,241 ",2019
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,624614876,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$550,515 ",2019
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,106979198,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,$0 ,2019
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$23,161,578 ",2019
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$2,067,183 ",2019
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,621122852,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$1,833,920 ",2019
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,624047689,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$347,999 ",2019
"NORTHERN OSWEGO COUNTY HEALTH SERVICES, INC",38366357,PULASKI,NY,131421200,OSWEGO,United States of America,Other Health Organization,County Government,"$3,377,733 ",2019
TIBURCIO VASQUEZ HEALTH CENTER,102906120,UNION CITY,CA,945872137,ALAMEDA,United States of America,Other Health Organization,City Government,"$2,762,246 ",2019
KENNETH YOUNG CENTER,83078667,ELK GROVE VILLAG,IL,60007,COOK,United States of America,Hospital,County Government,"$125,000 ",2019
GARRETT COUNTY HEALTH DEPARTMENT,136568941,OAKLAND,MD,21550,GARRETT,United States of America,Health Department,County Government,"$1,000,000 ",2019
NATIONAL EMERGENCY MANAGEMENT ASSOCIATION,77303399,LEXINGTON,KY,405781910,FAYETTE,United States of America,Hospital,County Government,$0 ,2019
CENTRE COUNTY GOVERNMENT,71209217,BELLEFONTE,PA,168231401,CENTRE,United States of America,Health Department,County Government,($3),2019
County of Luzerne,60513058,WILKES BARRE,PA,187110001,LUZERNE,United States of America,Other Health Organization,County Government,"$850,759 ",2019
BUTLER HEALTHCARE PROVIDERS,68718253,BUTLER,PA,160014670,BUTLER,United States of America,Hospital,County Government,"$199,978 ",2019
"CENTERVILLE CLINIC, INC",30064141,FREDERICKTOWN,PA,15333,WASHINGTON,United States of America,Other Health Organization,City Government,"$6,131,478 ",2019
"HUNTINGDON COUNTY CHILD DEVELOPMENT, INC",86729514,HUNTINGDON,PA,16652,HUNTINGDON,United States of America,Other Health Organization,County Government,"$2,448,249 ",2019
Mercer County Behavioral Health Commission,832693345,MERCER,PA,161373138,MERCER,United States of America,Other Health Organization,County Government,$0 ,2019
CLARION UNIVERSITY OF PENNSYLVANIA,72153737,CLARION,PA,16214,CLARION,United States of America,Hospital,State Government,"$398,128 ",2019
ALLEGHENY COUNTY HEALTH DEPARTMENT,1905736,PITTSBURGH,PA,15219,ALLEGHENY,United States of America,Health Department,County Government,"$6,626,991 ",2019
Beaver County Behavioral Health,68754019,BEAVER FALLS,PA,15010,BEAVER,United States of America,Health Department,County Government,"$400,000 ",2019
"Georgia Partnership for Telehealth, Inc.",15505792,WAYCROSS,GA,31501,WARE,United States of America,Other Health Organization,State Government,"$1,325,000 ",2019
SoberHood,31479549,AUSTIN,TX,78722,TRAVIS,United States of America,Other Health Organization,State Government,"$175,000 ",2019
Bartz-Altadonna Community Health Center,965016087,LANCASTER,CA,935343105,LOS ANGELES,United States of America,Hospital,State Government,"$1,862,000 ",2019
Barry County Community Mental Health Authority (BCCMHA),829789879,HASTINGS,MI,49058,BARRY,United States of America,Other Health Organization,State Government,"$50,000 ",2019
"WIRT COUNTY HEALTH SERVICES ASSOCIATION, INC",99515637,ELIZABETH,WV,26143,WIRT,United States of America,Other Health Organization,County Government,"$2,507,463 ",2019
MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,57515249,UNION,WV,24983,MONROE,United States of America,Other Health Organization,County Government,"$100,000 ",2019
MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,78655261,UNION,WV,24983,MONROE,United States of America,Other Health Organization,County Government,"$2,765,476 ",2019
STATE OF OHIO - DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$38,309,280 ",2019
STATE OF OHIO - DEPARTMENT OF HEALTH,809172653,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$2,342,574 ",2019
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$68,396,040 ",2019
"ADMINISTRATIVE SERVICES, OHIO DEPARTMENT OF",809376072,COLUMBUS,OH,432153414,FRANKLIN,United States of America,Health Department,State Government,"($250,000)",2019
Hamilton County General Health Dist,118242028,CINCINNATI,OH,45219,HAMILTON,United States of America,Other Health Organization,County Government,"$5,311,920 ",2019
Hamilton County Mental Health and Recovery Svcs Board,125496922,CINCINNATI,OH,45219,HAMILTON,United States of America,Health Department,County Government,$0 ,2019
CINCINNATI CITY HEALTH DEPARTMENT,134652473,CINCINNATI,OH,45229,HAMILTON,United States of America,Health Department,City Government,"$3,519,725 ",2019
ADAMS COUNTY AUDITOR,831324686,WEST UNION,OH,45693,ADAMS,United States of America,Health Department,County Government,"$250,000 ",2019
"FRANKLIN COUNTY ALCOHOL, DRUG & MENTAL HEALTH BOARD",46430641,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,County Government,"$3,974,855 ",2019
"FRANKLIN COUNTY ALCOHOL, DRUG & MENTAL HEALTH BOARD",135778574,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,County Government,"$294,339 ",2019
"COLUMBUS, CITY OF",932901762,COLUMBUS,OH,432155331,FRANKLIN,United States of America,Health Department,City Government,"$6,273,254 ",2019
"Columbus, City Of",51369916,COLUMBUS,OH,432159000,FRANKLIN,United States of America,Other Health Organization,City Government,"$416,116 ",2019
Portsmouth City Health Department,92155043,PORTSMOUTH,OH,456623919,SCIOTO,United States of America,Health Department,City Government,"$375,000 ",2019
OH ST DEPARTMENT OF MENTAL HEALTH,808847669,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$21,498,128 ",2019
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$41,787,247 ",2019
OH ST DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$2,711,784 ",2019
OH ST DEPARTMENT OF MNTL RETARD & DEVPMT`L DISABILITIES,943161976,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,State Government,"$2,918,396 ",2019
FOUR CORNERS HEALTH DEPARTMENT,155954550,YORK,NE,684671027,YORK,United States of America,Health Department,State Government,"$200,000 ",2019
TX DEPT OF STATE HEALTH SERVICES,807391511,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"$138,223,067 ",2019
INTERNATIONAL ANESTHESIA RESEARCH SOCIETY INC,97625685,SAN FRANCISCO,CA,94111,SAN FRANCISCO,United States of America,Other Health Organization,State Government,"$350,000 ",2019
HOLMES COUNTY GENERAL HEALTH DISTRICT,967383865,MILLERSBURG,OH,446541166,HOLMES,United States of America,Other Health Organization,County Government,$0 ,2019
CLEVELAND CITY DIVISION OF HEALTH,884644881,CLEVELAND,OH,44114,CUYAHOGA,United States of America,Health Department,City Government,"$950,000 ",2019
CUYAHOGA COUNTY BOARD OF HEALTH,142289581,CLEVELAND,OH,44115,CUYAHOGA,United States of America,Health Department,County Government,"$10,831,922 ",2019
LAKE COUNTY GENERAL HEALTH DISTRICT,93278422,PAINESVILLE,OH,44077,LAKE,United States of America,Health Department,County Government,"$62,736 ",2019
Summit Combined General Health District,605748755,STOW,OH,442242933,SUMMIT,United States of America,Health Department,County Government,"$780,164 ",2019
MetroHealth System,71124291,CLEVELAND,OH,441091998,CUYAHOGA,United States of America,Hospital,County Government,"$493,080 ",2019
LUCAS COUNTY HEALTH DEPARTMENT,103033317,TOLEDO,OH,43624,LUCAS,United States of America,Health Department,County Government,"$875,284 ",2019
SANDUSKY COUNTY HEALTH DEPARTMENT,804883700,FREMONT,OH,434208560,SANDUSKY,United States of America,Health Department,County Government,"$300,000 ",2019
WOOD COUNTY HEALTH DEPARTMENT,782014708,BOWLING GREEN,OH,434029173,WOOD,United States of America,Health Department,County Government,"$1,078,661 ",2019
