"TAGGS Recipient Search Export
Data Fiscal Year = 2021; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
NEW BRITIAN HEALTH DEPARTMENT,59062406,NEW BRITIAN,CT,6051,HARTFORD,United States of America,Health Department,City Government,"$125,000 "
NEW HAVEN CITY DEPARTMENT OF PUBLIC HEALTH,75396754,NEW HAVEN,CT,6519,NEW HAVEN,United States of America,Health Department,City Government,"$5,228,689 "
STRATFORD DEPARTMENT OF HEALTH,72134414,STRATFORD,CT,6497,FAIRFIELD,United States of America,Health Department,City Government,"$139,233 "
Town of Suffield,839851115,SUFFIELD,CT,60783074,HARTFORD,United States of America,Other Health Organization,City Government,$0 
NASSAU COUNTY HEALTH DEPARTMENT,60656886,MINEOLA,NY,115014245,NASSAU,United States of America,Health Department,County Government,"$5,428,531 "
Columbus Public Health Clinical Division,932901762,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,City Government,"($550,000)"
"New York Blood Center, Inc.",73271827,NEW YORK,NY,10021,NEW YORK,United States of America,Other Health Organization,City Government,"$3,789,790 "
"PLANNED PARENTHOOD OF NEW YORK CITY, INC",71008353,NEW YORK,NY,100122413,NEW YORK,United States of America,Other Health Organization,City Government,$0 
ELMHURST HOSPITAL CENTER/NYC HEALTH & HOPITAL COPR.,86060423,ELMHURST,NY,11373,QUEENS,United States of America,Hospital,City Government,"$732,433 "
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,CHURCH STREET,NY,100071307,NEW YORK,United States of America,Health Department,City Government,"$1,037,013,317 "
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,NEW YORK,NY,10013,NEW YORK,United States of America,Health Department,City Government,"$8,731,124 "
"HEALTH RESEARCH, INC.",2436061,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$1,101,607,759 "
"HEALTH RESEARCH, INC.",153695478,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$517,224 "
"HEALTH RESEARCH, INC.",153695809,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$1,896,274 "
"HEALTH RESEARCH, INC.",157119657,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$15,547,256 "
"HEALTH RESEARCH, INC.",620832753,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$453,324 "
UNIVERSITY HOSPITAL OF DOWNSTATE MEDICAL CENTER,40796328,NEW YORK-KINGS,NY,11203,KINGS,United States of America,Hospital,State Government,"$7,125,486 "
UNIVERSITY HOSPITAL OF UPSTATE MEDICAL CENTER,58889106,SYRACUSE,NY,132102342,ONONDAGA,United States of America,Hospital,State Government,"$5,686,910 "
NY ST COMMISSION ON QUALITY OF CARE,138927319,SCHENECTADY,NY,123052397,SCHENECTADY,United States of America,Other Health Organization,State Government,"$812,139 "
NYS Office of Mental Health,135407026,ALBANY,NY,12229,ALBANY,United States of America,Health Department,State Government,$0 
NYS Office of Mental Health,806781340,ALBANY,NY,12229,ALBANY,United States of America,Health Department,State Government,"$86,660,886 "
NYS Office of Alcoholism and Substance Abuse Services,136153207,ALBANY,NY,122033526,ALBANY,United States of America,Health Department,State Government,"$132,779,397 "
DC DEPARTMENT OF MENTAL HEALTH,14384031,WASHINGTON,DC,200023329,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$3,656,508 "
Madison County,75824151,WAMPSVILLE,NY,13163,MADISON,United States of America,Health Department,County Government,"($14,227)"
ONONDAGA COUNTY DEPARTMENT OF HEALTH,25345039,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$932,458 "
ONONDAGA COUNTY DEPARTMENT OF HEALTH,781693569,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"($405,981)"
County of Schuyler,39551270,WATKINS GLEN,NY,14891,SCHUYLER,United States of America,Health Department,County Government,"$207,901 "
"FAMILY HEALTH NETWORK OF CENTRAL NEW YORK, INC",55922041,CORTLAND,NY,13045,CORTLAND,United States of America,Other Health Organization,County Government,"$4,820,207 "
ROCHESTER BUREAU OF HUMAN SERVICES,2465805,ROCHESTER,NY,14614,MONROE,United States of America,Health Department,City Government,"($301,833)"
Chautauqua County Department of Mental Hygiene,74035726,MAYVILLE,NY,14757,CHAUTAUQUA,United States of America,Other Health Organization,County Government,"($20,675)"
ERIE COUNTY MEDICAL CENTER,879196178,BUFFALO,NY,142153021,ERIE,United States of America,Hospital,County Government,"$321,353 "
"Adams County Health Center, Inc.",20924403,COUNCIL,ID,83612,ADAMS,United States of America,Hospital,County Government,"$2,195,105 "
"ATLANTIC, COUNTY OF",79497897,ATLANTIC CITY,NJ,84017212,ATLANTIC,United States of America,Other Health Organization,County Government,$0 
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,19734826,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$2,337,954 "
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,806418075,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$1,017,131,442 "
NJ ST DEPARTMENT OF PUBLIC HEALTH,806418075,TRENTON,NJ,8625,MERCER,United States of America,Health Department,State Government,$0 
NJ ST Dept of Children and Families,784995503,TRENTON,NJ,8625,MERCER,United States of America,Other Health Organization,State Government,"$197,618,033 "
HACKENSACK MEDICAL CENTER,42797571,HACKENSACK,NJ,7601,BERGEN,United States of America,Other Health Organization,City Government,"$5,273,879 "
"PATERSON, CITY OF (INC)",67484063,PATERSON,NJ,75051414,PASSAIC,United States of America,Health Department,City Government,$0 
"PATERSON, CITY OF (INC)",968116319,PATERSON,NJ,75051414,PASSAIC,United States of America,Health Department,City Government,"$3,835,639 "
"SECAUCUS, TOWN OF",80619414,SECAUCUS,NJ,70943226,HUDSON,United States of America,Health Department,City Government,"$125,000 "
UPMC Altoona,72166259,ALTOONA,PA,166014899,BLAIR,United States of America,Hospital,City Government,"($4,121)"
LANCASTER GENERAL HOSPITAL,69784924,LANCASTER,PA,17603,LANCASTER,United States of America,Hospital,City Government,"$412,704 "
CMSU BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES,160217188,DANVILLE,PA,178210219,MONTOUR,United States of America,Other Health Organization,County Government,"($141,121)"
PHILADELPHIA CITY DEPT OF PUBLIC HEALTH ENVIRONMENT,136968026,PHILADELPHIA,PA,19146,PHILADELPHIA,United States of America,Health Department,City Government,$0 
CITY OF PHILADELPHIA DEPT OF BEHAV HLTH INTELL DIS SERV,809134484,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Hospital,City Government,"($200,773)"
PA ST DEPARTMENT OF HEALTH,614489839,HARRISBURG,PA,17105,DAUPHIN,United States of America,Health Department,State Government,"$1,203,109,257 "
PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,614489839,HARRISBURG,PA,17101,DAUPHIN,United States of America,Health Department,State Government,"$68,137,737 "
"Health, Pennsylvania Department Of",614489839,HARRISBURG,PA,171200701,DAUPHIN,United States of America,Other Health Organization,State Government,$0 
PA ST DHS Office of Mental Health and Substance Abuse,796567790,HARRISBURG,PA,171103593,DAUPHIN,United States of America,Other Health Organization,State Government,$0 
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$7,393,929 "
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$31,611,784 "
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,624614876,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,$0 
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$24,453,588 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$139,509,393 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,621122852,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$1,472,901 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,624047689,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,$0 
"NORTHERN OSWEGO COUNTY HEALTH SERVICES, INC",38366357,PULASKI,NY,131421200,OSWEGO,United States of America,Other Health Organization,County Government,"$7,025,536 "
TIBURCIO VASQUEZ HEALTH CENTER,102906120,UNION CITY,CA,945872137,ALAMEDA,United States of America,Other Health Organization,City Government,"$8,077,794 "
KENNETH YOUNG CENTER,83078667,ELK GROVE VILLAG,IL,60007,COOK,United States of America,Hospital,County Government,$0 
GARRETT COUNTY HEALTH DEPARTMENT,136568941,OAKLAND,MD,21550,GARRETT,United States of America,Health Department,County Government,$0 
County of Luzerne,60513058,WILKES BARRE,PA,187110001,LUZERNE,United States of America,Other Health Organization,County Government,"($3,659)"
BUTLER HEALTHCARE PROVIDERS,68718253,BUTLER,PA,160014670,BUTLER,United States of America,Hospital,County Government,$0 
"CENTERVILLE CLINIC, INC",30064141,FREDERICKTOWN,PA,15333,WASHINGTON,United States of America,Other Health Organization,City Government,"$11,974,654 "
"HUNTINGDON COUNTY CHILD DEVELOPMENT, INC",86729514,HUNTINGDON,PA,16652,HUNTINGDON,United States of America,Other Health Organization,County Government,"$2,460,651 "
CLARION UNIVERSITY OF PENNSYLVANIA,72153737,CLARION,PA,16214,CLARION,United States of America,Hospital,State Government,"$398,128 "
ALLEGHENY COUNTY HEALTH DEPARTMENT,1905736,PITTSBURGH,PA,15219,ALLEGHENY,United States of America,Health Department,County Government,"$579,480 "
"Georgia Partnership for Telehealth, Inc.",15505792,WAYCROSS,GA,31501,WARE,United States of America,Other Health Organization,State Government,$0 
Texas Health Services Authority,962597386,AUSTIN,TX,787356204,TRAVIS,United States of America,Health Department,State Government,"$123,809 "
SoberHood,31479549,AUSTIN,TX,78722,TRAVIS,United States of America,Other Health Organization,State Government,$0 
Bartz-Altadonna Community Health Center,965016087,LANCASTER,CA,935343105,LOS ANGELES,United States of America,Hospital,State Government,"$2,223,171 "
MICHIGAN HEALTH INFORMATION NETWORK,969816292,EAST LANSING,MI,488232605,,United States of America,Hospital,State Government,"$123,809 "
KANSAS HEALTH INFORMATION NETWORK INC,78312057,TOPEKA,KS,666121627,SHAWNEE,United States of America,Health Department,State Government,"$123,809 "
Barry County Community Mental Health Authority (BCCMHA),829789879,HASTINGS,MI,49058,BARRY,United States of America,Other Health Organization,State Government,"$54,637 "
"WIRT COUNTY HEALTH SERVICES ASSOCIATION, INC",99515637,ELIZABETH,WV,26143,WIRT,United States of America,Other Health Organization,County Government,"$5,031,039 "
MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,57515249,UNION,WV,24983,MONROE,United States of America,Other Health Organization,County Government,$0 
MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,78655261,UNION,WV,24983,MONROE,United States of America,Other Health Organization,County Government,"$4,412,972 "
STATE OF OHIO - DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$1,252,794,161 "
STATE OF OHIO - DEPARTMENT OF HEALTH,809172653,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$2,257,475 "
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$26,725,907 "
Hamilton County General Health Dist,118242028,CINCINNATI,OH,45219,HAMILTON,United States of America,Other Health Organization,County Government,$0 
Hamilton County Mental Health and Recovery Svcs Board,125496922,CINCINNATI,OH,45219,HAMILTON,United States of America,Health Department,County Government,$0 
CINCINNATI CITY HEALTH DEPARTMENT,134652473,CINCINNATI,OH,45229,HAMILTON,United States of America,Health Department,City Government,"$13,198,914 "
FRANKLIN COUNTY BOARD OF MENTAL HEALTH & RETARDATION,46430641,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,County Government,$0 
Franklin County Board Of Commissioners,46430641,COLUMBUS,OH,432154591,FRANKLIN,United States of America,Health Department,County Government,$0 
"COLUMBUS, CITY OF",932901762,COLUMBUS,OH,432155331,FRANKLIN,United States of America,Health Department,City Government,"$7,260,942 "
"Columbus, City Of",51369916,COLUMBUS,OH,432159000,FRANKLIN,United States of America,Other Health Organization,City Government,$0 
Portsmouth City Health Department,92155043,PORTSMOUTH,OH,456623919,SCIOTO,United States of America,Health Department,City Government,$0 
OH ST DEPARTMENT OF MENTAL HEALTH,808847669,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$48,199,344 "
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$33,585,424 "
OH ST DEPARTMENT OF MNTL RETARD & DEVPMT`L DISABILITIES,943161976,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,State Government,"$2,846,720 "
TX DEPT OF STATE HEALTH SERVICES,807391511,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"$2,413,818,739 "
CLEVELAND CITY DIVISION OF HEALTH,884644881,CLEVELAND,OH,44114,CUYAHOGA,United States of America,Health Department,City Government,"$1,099,039 "
CUYAHOGA COUNTY BOARD OF HEALTH,142289581,CLEVELAND,OH,44115,CUYAHOGA,United States of America,Health Department,County Government,"$6,017,967 "
LAKE COUNTY GENERAL HEALTH DISTRICT,93278422,PAINESVILLE,OH,44077,LAKE,United States of America,Health Department,County Government,"($114,080)"
Summit Combined General Health District,605748755,STOW,OH,442242933,SUMMIT,United States of America,Health Department,County Government,$0 
LUCAS COUNTY HEALTH DEPARTMENT,103033317,TOLEDO,OH,43624,LUCAS,United States of America,Health Department,County Government,"$1,044,533 "
SANDUSKY COUNTY HEALTH DEPARTMENT,804883700,FREMONT,OH,434208560,SANDUSKY,United States of America,Health Department,County Government,$0 
WOOD COUNTY HEALTH DEPARTMENT,782014708,BOWLING GREEN,OH,434029173,WOOD,United States of America,Health Department,County Government,"$1,682,984 "
"OTIS R BOWEN CENTER FOR HUMAN SERVICES, INC",69754737,WARSAW,IN,46580,KOSCIUSKO,United States of America,Other Health Organization,County Government,$0 
CENTERSTONE OF INDIANA INC,70710942,BLOOMINGTON,IN,47403,MONROE,United States of America,Health Department,County Government,"$557,906 "
Porter County Substance Abuse Council,800794877,VALPARAISO,IN,46383,PORTER,United States of America,Other Health Organization,County Government,$0 
IN ST BOARD OF HEALTH,824799407,INDIANAPOLIS,IN,462043003,MARION,United States of America,Health Department,State Government,"$757,392,460 "
IN ST DEPARTMENT OF MENTAL HEALTH,83384771,INDIANAPOLIS,IN,46204,MARION,United States of America,Other Health Organization,State Government,"$65,979,158 "
IN ST PROTECTION & ADVOCACY SERVICE COMMISSION,177603487,INDIANAPOLIS,IN,46205,MARION,United States of America,Other Health Organization,State Government,"$1,491,793 "
WAYNE COUNTY HEALTH DEPARTMENT,798954413,RICHMOND,IN,47374,WAYNE,United States of America,Health Department,County Government,$0 
"BATESVILLE, CITY OF",87438255,BATESVILLE,IN,470061345,RIPLEY,United States of America,Other Health Organization,City Government,"$164,020 "
HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY (THE),52952058,INDIANAPOLIS,IN,462052930,MARION,United States of America,Other Health Organization,County Government,"$25,544,491 "
North Central Behavorial Health Systems Inc,937836575,LA SALLE,IL,613013488,LA SALLE,United States of America,Hospital,County Government,$0 
Will County Health Department,144385155,JOLIET,IL,604332799,WILL,United States of America,Health Department,County Government,"$5,276,805 "
ILLINOIS DEPT OF HUMAN SERVICES,67919071,CHICAGO,IL,60607,COOK,United States of America,Health Department,State Government,"$1,221,219,475 "
"CHICAGO, CITY OF",956049399,CHICAGO,IL,606043972,COOK,United States of America,Health Department,City Government,"$264,751,296 "
"CHICAGO, CITY OF",956049399,CHICAGO,IL,606043972,,United States of America,Health Department,City Government,"$3,031,116 "
"COOK, COUNTY OF",139209527,CHICAGO,IL,606123723,COOK,United States of America,Health Department,County Government,"$82,526 "
DU PAGE CO HEALTH DEPT,110814543,WHEATON,IL,60187,DU PAGE,United States of America,Health Department,County Government,"$125,232 "
Kendall County Health Department,6524404,YORKVILLE,IL,605609249,KENDALL,United States of America,Health Department,County Government,"$86,179 "
"County of Lake, dba Lake County Health Department",112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"($341,575)"
LAKE COUNTY HEALTH DEPARTMENT,112426432,WAUKEGAN,IL,600852321,LAKE,United States of America,Health Department,County Government,"$13,618,124 "
McHenry County Department of Health,937636413,WOODSTOCK,IL,60098,MCHENRY,United States of America,Health Department,County Government,"($125,000)"
Whiteside County Health Department,784969420,ROCK FALLS,IL,610711005,WHITESIDE,United States of America,Health Department,County Government,"$4,673,953 "
"CHESTNUT HEALTH SYSTEMS, INC",125086173,BLOOMINGTON,IL,617011429,MCLEAN,United States of America,Other Health Organization,County Government,"$4,978,124 "
SOUTHERN SEVEN HEALTH DEPARTMENT,35702315,ULLIN,IL,62992,PULASKI,United States of America,Health Department,State Government,"$5,602,315 "
MACOUPIN COUNTY PUBLIC HEALTH DEPARTMENT,947095568,CARLINVILLE,IL,626261075,MACOUPIN,United States of America,Health Department,County Government,"$2,073,580 "
IL ST DEPARTMENT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$55,816,862 "
CHAMPAIGN COUNTY REGIONAL PLAN COMM,3535551,URBANA,IL,618030339,CHAMPAIGN,United States of America,Other Health Organization,County Government,"$7,666,299 "
Egyptian Health Department,112426812,ELDORADO,IL,629303766,SALINE,United States of America,Health Department,County Government,"$2,679,431 "
Jersey Community Hospital district,20355905,Jerseyville,IL,620522028,JERSEY,United States of America,Other Health Organization,County Government,$0 
Mid-Michigan District Health Department,196794820,STANTON,MI,488889702,MONTCALM,United States of America,Health Department,State Government,"$216,378 "
LUCE MACKINAC HEALTH DEPARTMENT,17402780,NEWBERRY,MI,498687762,LUCE,United States of America,Health Department,County Government,$0 
MI ST PROTECTION & ADVOCACY SERVICE,168482909,LANSING,MI,489331706,INGHAM,United States of America,Other Health Organization,State Government,"$2,181,304 "
Allegan County Community Mental Health Services,168483022,ALLEGAN,MI,490109511,ALLEGAN,United States of America,Other Health Organization,County Government,"$274,182 "
Michigan Department of Health and Human Services,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"($78,103)"
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,113704139,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$9,349,868,054 "
MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,805340163,LANSING,MI,489098220,INGHAM,United States of America,Health Department,State Government,"$2,531,242 "
DETROIT CITY HEALTH DEPARTMENT,603005542,DETROIT,MI,48202,WAYNE,United States of America,Health Department,City Government,"$11,255,058 "
Detroit Department of Health and Wellness Promotion,603005542,DETROIT,MI,48202,WAYNE,United States of America,Health Department,State Government,$0 
County of Jackson,88328877,JACKSON,MI,49201,JACKSON,United States of America,Other Health Organization,State Government,$0 
Genesee County Health Department,619259146,FLINT,MI,485021525,GENESEE,United States of America,Health Department,County Government,"$980,000 "
WESTERN UPPER PENINSULA DIST HEALTH DEPT,99939316,HANCOCK,MI,49930,HOUGHTON,United States of America,Health Department,County Government,$0 
Ionia County Health Department,83684910,IONIA,MI,488461672,IONIA,United States of America,Health Department,County Government,"$89,770 "
Macomb County Community Mental Health,16385400,CLINTON TOWNSHIP,MI,480361189,MACOMB,United States of America,Health Department,County Government,$0 
WASHTENAW COUNTY COMMUNITY MENTAL HEALTH CENTER,969330851,YPSILANTI,MI,481970915,WASHTENAW,United States of America,Hospital,County Government,$0 
"County of Ingham, Health Department",31875656,LANSING,MI,48909,INGHAM,United States of America,Health Department,County Government,"$8,006,337 "
MUSKEGON COUNTY COMMUNITY MENTAL HEALTH SERVICES BOARD,105780063,MESKEGON,MI,49442,MUSKEGON,United States of America,Other Health Organization,County Government,"($752,079)"
CHILDRENS HOSPITAL OF WISCONSIN INC,73847261,MILWAUKEE,WI,532011997,MILWAUKEE,United States of America,Hospital,City Government,"$5,274,135 "
