,,,,,,,,,
Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
"PLANNED PARENTHOOD OF SOUTHERN NEW ENGLAND, INC",72132368,NEW HAVEN,CT,65112348,NEW HAVEN,United States of America,Other Health Organization,State Government,"$2,473,000 "
DANBURY HOSPITAL,75394080,DANBURY,CT,6810,FAIRFIELD,United States of America,Hospital,City Government,"$657,483 "
YALE NEW HAVEN HOSPITAL,75406561,NEW HAVEN,CT,65048900,NEW HAVEN,United States of America,Hospital,City Government,"$248,941 "
HARTFORD HOSPITAL,65533796,HARTFORD,CT,6115,HARTFORD,United States of America,Hospital,City Government,"$1,989,670 "
MANCHESTER MEMORIAL HOSPITAL,77325645,MANCHESTER,CT,60404131,HARTFORD,United States of America,Hospital,City Government,"$526,158 "
WATERBURY HOSPITAL,10142065,WATERBURY,CT,6720,NEW HAVEN,United States of America,Hospital,City Government,"$426,543 "
CORNELL SCOTT HILL HEALTH CORPORATION,10156370,NEW HAVEN,CT,65191233,NEW HAVEN,United States of America,Other Health Organization,City Government,"$7,670,653 "
LEDGE LIGHT HEALTH DISTRICT,829794598,NEW LONDON,CT,63205335,NEW LONDON,United States of America,Health Department,County Government,"$125,000 "
Marin City Health and Wellness Center,830668880,SAUSALITO,CA,949651107,MARIN,United States of America,Hospital,City Government,"$2,874,389 "
CT ST DEPT OF PUBLIC HEALTH,807853791,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$50,488,356 "
CT ST DEPARTMENT OF MENTAL HEALTH & ADDICTION SVCS,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$15,606,736 "
CT ST DEPARTMENT OF MENTAL RETARDATION,807852694,HARTFORD,CT,61061308,HARTFORD,United States of America,Other Health Organization,State Government,"$703,485 "
CT ST DEPT OF MENTAL HLTH & ADDICITION SERVICES,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Other Health Organization,State Government,"$18,212,225 "
CT ST DEPARTMENT OF HEALTH,807853791,BRIDGEPORT,CT,6604,FAIRFIELD,United States of America,Health Department,State Government,"$3,138,965 "
"HARTFORD CITY, DEPARTMENT OF HEALTH",198349602,HARTFORD,CT,6112,HARTFORD,United States of America,Health Department,City Government,"$4,626,964 "
NEW HAVEN CITY DEPARTMENT OF PUBLIC HEALTH,75396754,NEW HAVEN,CT,6519,NEW HAVEN,United States of America,Health Department,City Government,"$5,688,520 "
STRATFORD DEPARTMENT OF HEALTH,72134414,STRATFORD,CT,6497,FAIRFIELD,United States of America,Health Department,City Government,"$125,000 "
NH DHHS Office of Minority Health,11040545,CONCORD,NH,33013857,MERRIMACK,United States of America,Other Health Organization,State Government,"$2,472,608 "
JUDICIARY COURTS OF THE STATE OF MICHIGAN,10397758,CLINTON TOWNSHIP,MI,480361197,MACOMB,United States of America,Other Health Organization,County Government,"$323,870 "
NASSAU COUNTY HEALTH DEPARTMENT,60656886,MINEOLA,NY,115014245,NASSAU,United States of America,Health Department,County Government,"$5,698,107 "
SUFFOLK COUNTY DEPARTMENT OF HEALTH SERVICES,129090267,HAUPPAUGE,NY,11788,SUFFOLK,United States of America,Health Department,County Government,"$140,000 "
"New York Blood Center, Inc.",73271827,NEW YORK,NY,10021,NEW YORK,United States of America,Other Health Organization,City Government,"$6,447,563 "
HARLEM HOSPITAL CENTER,64961261,NEW YORK,NY,100371802,NEW YORK,United States of America,Hospital,City Government,"($70,198)"
ELMHURST HOSPITAL CENTER/NYC HEALTH & HOPITAL COPR.,86060423,ELMHURST,NY,11373,QUEENS,United States of America,Hospital,City Government,"$1,077,864 "
"COUTY OF ROCKLAND, DEPARTMENT OF FINANCE",75437848,NEW CITY,NY,10956,ROCKLAND,United States of America,Other Health Organization,County Government,"$1,000,000 "
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,CHURCH STREET,NY,100071307,NEW YORK,United States of America,Health Department,City Government,"$171,679,856 "
NEW YORK CITY DEPARTMENT OF HEALTH,73278368,NEW YORK,NY,10013,NEW YORK,United States of America,Health Department,City Government,"($1,139,944)"
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,NEW YORK,NY,10013,NEW YORK,United States of America,Health Department,City Government,"$13,618,675 "
"HEALTH RESEARCH, INC.",2436061,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$251,324,811 "
"HEALTH RESEARCH, INC.",153695478,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$10,930,236 "
"HEALTH RESEARCH, INC.",153695809,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$32,802,487 "
"HEALTH RESEARCH, INC.",157119657,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$15,222,099 "
"HEALTH RESEARCH, INC.",620832753,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$7,551,339 "
"City of Middletown, New York",79981451,MIDDLETOWN,NY,109405724,ORANGE,United States of America,Hospital,City Government,"$125,000 "
Schenectady County (Public Health Services),102574808,SCHENECTADY,NY,12305,SCHENECTADY,United States of America,Health Department,County Government,"$400,038 "
NY ST DEPARTMENT OF HEALTH,806781340,ALBANY,NY,12237,ALBANY,United States of America,Health Department,State Government,"$17,563,710 "
UNIVERSITY HOSPITAL OF DOWNSTATE MEDICAL CENTER,40796328,NEW YORK-KINGS,NY,11203,KINGS,United States of America,Hospital,State Government,"$21,153,902 "
UNIVERSITY HOSPITAL OF UPSTATE MEDICAL CENTER,58889106,SYRACUSE,NY,132102342,ONONDAGA,United States of America,Hospital,State Government,"$12,344,899 "
NY ST COMMISSION ON QUALITY OF CARE,138927319,SCHENECTADY,NY,123052397,SCHENECTADY,United States of America,Other Health Organization,State Government,"$708,323 "
NYS Office of Mental Health,135407026,ALBANY,NY,12229,ALBANY,United States of America,Health Department,State Government,"$36,650,477 "
NYS Office of Alcoholism and Substance Abuse Services,136153207,ALBANY,NY,122033526,ALBANY,United States of America,Health Department,State Government,"$111,830,061 "
DC DEPARTMENT OF MENTAL HEALTH,14384031,WASHINGTON,DC,200023329,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$1,357,109 "
Department of Behavioral Health & Developmental Service,627383102,RICHMOND,VA,23218,**RICHMOND,United States of America,Health Department,State Government,"$166,306 "
CAYUGA COUNTY MENTAL HEALTH CENTER,809609410,AUBURN,NY,13021,CAYUGA,United States of America,Hospital,County Government,"$1,000,000 "
Madison County,75824151,WAMPSVILLE,NY,13163,MADISON,United States of America,Health Department,County Government,"$104,700 "
ONONDAGA COUNTY DEPARTMENT OF HEALTH,25345039,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$1,088,400 "
ONONDAGA COUNTY DEPARTMENT OF HEALTH,31304194,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$1,000,000 "
County of Schuyler,39551270,WATKINS GLEN,NY,14891,SCHUYLER,United States of America,Health Department,County Government,"$125,000 "
"FAMILY HEALTH NETWORK OF CENTRAL NEW YORK, INC",55922041,CORTLAND,NY,13045,CORTLAND,United States of America,Other Health Organization,County Government,"$2,005,462 "
ROCHESTER BUREAU OF HUMAN SERVICES,2465805,ROCHESTER,NY,14614,MONROE,United States of America,Health Department,City Government,"$917,458 "
Chautauqua County Department of Mental Hygiene,74035726,MAYVILLE,NY,14757,CHAUTAUQUA,United States of America,Other Health Organization,County Government,"$1,000,000 "
ERIE COUNTY MEDICAL CENTER,879196178,BUFFALO,NY,142153021,ERIE,United States of America,Hospital,County Government,"$791,231 "
Niagara County Department of Mental Health,67523886,LOCKPORT,NY,140941895,NIAGARA,United States of America,Health Department,County Government,"$397,032 "
Faces and Voices of Recovery South Carolina,832733237,WEST COLUMBIA,SC,29169,LEXINGTON,United States of America,Other Health Organization,State Government,"$100,000 "
"Adams County Health Center, Inc.",20924403,COUNCIL,ID,83612,ADAMS,United States of America,Hospital,County Government,"$1,223,212 "
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,361857998,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$3,853,427 "
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,806418075,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$144,542,629 "
NJ ST DEPARTMENT OF PUBLIC HEALTH,806418075,TRENTON,NJ,8625,MERCER,United States of America,Health Department,State Government,"$794,360 "
NJ ST Dept of Children and Families,784995503,TRENTON,NJ,8625,MERCER,United States of America,Other Health Organization,State Government,"$70,004,810 "
City of Vineland Department of Health,73739955,VINELAND,NJ,83621508,CUMBERLAND,United States of America,Health Department,City Government,"$48,638 "
HACKENSACK MEDICAL CENTER,42797571,HACKENSACK,NJ,7601,BERGEN,United States of America,Other Health Organization,City Government,"$509,668 "
"PATERSON, CITY OF (INC)",968116319,PATERSON,NJ,75051414,PASSAIC,United States of America,Health Department,City Government,"$4,662,186 "
"SECAUCUS, TOWN OF",80619414,SECAUCUS,NJ,70943226,HUDSON,United States of America,Health Department,City Government,"$125,000 "
"Franklin County Head Start Program, Inc.",193663762,CHAMBERSBURG,PA,17201,FRANKLIN,United States of America,Other Health Organization,County Government,"$2,983,299 "
UPMC Altoona,72166259,ALTOONA,PA,166014899,BLAIR,United States of America,Hospital,City Government,"$230,857 "
LANCASTER GENERAL HOSPITAL,69784924,LANCASTER,PA,17603,LANCASTER,United States of America,Hospital,City Government,"$405,703 "
CMSU BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES,160217188,DANVILLE,PA,178210219,MONTOUR,United States of America,Other Health Organization,County Government,"$1,000,000 "
PHILADELPHIA CITY DEPT OF PUBLIC HEALTH ENVIRONMENT,136968026,PHILADELPHIA,PA,19146,PHILADELPHIA,United States of America,Health Department,City Government,"$291,972 "
CITY OF PHILADELPHIA DEPT OF BEHAV HLTH INTELL DIS SERV,809134484,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Hospital,City Government,"$1,400,000 "
PA STATE DEPARTMENT OF INSURANCE,609513544,HARRISBURG,PA,17105,DAUPHIN,United States of America,Other Health Organization,State Government,"($275,939)"
PA STATE DEPARTMENT OF INSURANCE,796567790,HARRISBURG,PA,17105,DAUPHIN,United States of America,Other Health Organization,State Government,"$365,076,419 "
PA ST DEPARTMENT OF HEALTH,614489839,HARRISBURG,PA,17105,DAUPHIN,United States of America,Health Department,State Government,"$59,066,714 "
PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,614489839,HARRISBURG,PA,17101,DAUPHIN,United States of America,Health Department,State Government,"$92,120,450 "
PA ST DHS Office of Mental Health and Substance Abuse,796567790,HARRISBURG,PA,171103593,DAUPHIN,United States of America,Other Health Organization,State Government,"$886,200 "
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$6,822,026 "
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$8,980,441 "
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,624614876,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$3,180,592 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$26,364,352 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$3,081,271 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,621122852,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$2,625,867 "
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,624047689,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$431,902 "
"NORTHERN OSWEGO COUNTY HEALTH SERVICES, INC",38366357,PULASKI,NY,131421200,OSWEGO,United States of America,Other Health Organization,County Government,"$2,731,365 "
"CODAC HEALTH, RECOVERY, & WELLNESS, INC.",139453005,TUCSON,AZ,857192374,PIMA,United States of America,Other Health Organization,County Government,"$624,950 "
TIBURCIO VASQUEZ HEALTH CENTER,102906120,UNION CITY,CA,945872137,ALAMEDA,United States of America,Other Health Organization,City Government,"$2,247,703 "
GARRETT COUNTY HEALTH DEPARTMENT,136568941,OAKLAND,MD,21550,GARRETT,United States of America,Health Department,County Government,"$125,000 "
NATIONAL EMERGENCY MANAGEMENT ASSOCIATION,77303399,LEXINGTON,KY,405781910,FAYETTE,United States of America,Hospital,County Government,"$600,000 "
County of Luzerne,60513058,WILKES BARRE,PA,187110001,LUZERNE,United States of America,Other Health Organization,County Government,"$850,759 "
BUTLER HEALTHCARE PROVIDERS,68718253,BUTLER,PA,160014670,BUTLER,United States of America,Hospital,County Government,"$200,000 "
"CENTERVILLE CLINIC, INC",30064141,FREDERICKTOWN,PA,15333,WASHINGTON,United States of America,Other Health Organization,City Government,"$5,616,671 "
"HUNTINGDON COUNTY CHILD DEVELOPMENT, INC",86729514,HUNTINGDON,PA,16652,HUNTINGDON,United States of America,Other Health Organization,County Government,"$2,011,812 "
Mercer County Behavioral Health Commission,832693345,MERCER,PA,161373138,MERCER,United States of America,Other Health Organization,County Government,"$125,000 "
CLARION UNIVERSITY OF PENNSYLVANIA,72153737,CLARION,PA,16214,CLARION,United States of America,Hospital,State Government,"$408,500 "
"Georgia Partnership for Telehealth, Inc.",15505792,WAYCROSS,GA,31501,WARE,United States of America,Other Health Organization,State Government,"$662,996 "
CIVIC CANOPY (THE),27356495,DENVER,CO,802053961,DENVER,United States of America,Other Health Organization,State Government,$0 
"Dryhootch of America, Inc.",827751277,MILWAUKEE,WI,53202,MILWAUKEE,United States of America,Other Health Organization,State Government,"$100,000 "
SoberHood,31479549,AUSTIN,TX,78722,TRAVIS,United States of America,Other Health Organization,State Government,"$497,612 "
Bartz-Altadonna Community Health Center,965016087,LANCASTER,CA,935343105,LOS ANGELES,United States of America,Hospital,State Government,"$1,573,591 "
Barry County Community Mental Health Authority (BCCMHA),829789879,HASTINGS,MI,49058,BARRY,United States of America,Other Health Organization,State Government,"$125,000 "
"Greeley County Health Services, Inc",612532296,TRIBUNE,KS,678799684,GREELEY,United States of America,Health Department,County Government,"$144,475 "
"WIRT COUNTY HEALTH SERVICES ASSOCIATION, INC",99515637,ELIZABETH,WV,26143,WIRT,United States of America,Other Health Organization,County Government,"$2,130,415 "
MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,78655261,UNION,WV,24983,MONROE,United States of America,Other Health Organization,County Government,"$2,178,179 "
STATE OF OHIO - DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$87,364,102 "
STATE OF OHIO - DEPARTMENT OF HEALTH,809172653,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"($278,626)"
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$1,155,038 "
Hamilton County Mental Health and Recovery Svcs Board,125496922,CINCINNATI,OH,45219,HAMILTON,United States of America,Health Department,County Government,"$325,000 "
CINCINNATI CITY HEALTH DEPARTMENT,134652473,CINCINNATI,OH,45229,HAMILTON,United States of America,Health Department,City Government,"$3,343,828 "
CityofCincinnati Office of Environment & Sustainability,43325158,CINCINNATI,OH,45202,HAMILTON,United States of America,Health Department,City Government,"$345,000 "
City of Piqua,77430114,PIQUA,OH,453562235,MIAMI,United States of America,Other Health Organization,City Government,$0 
MONTGOMERY COUNTY HEALTH DEPARTMENT,71277115,DAYTON,OH,45422,MONTGOMERY,United States of America,Health Department,County Government,"($324,525)"
"UNION, COUNTY OF",613368299,MARYSVILLE,OH,430408036,UNION,United States of America,Health Department,County Government,"($125,000)"
"COLUMBUS, CITY OF",932901762,COLUMBUS,OH,432155331,FRANKLIN,United States of America,Health Department,City Government,"$5,429,724 "
FAIRFIELD CO. MUNICIPAL COURT,621428713,LANCASTER,OH,43130,FAIRFIELD,United States of America,Other Health Organization,State Government,"$234,262 "
Portsmouth City Health Department,92155043,PORTSMOUTH,OH,456623919,SCIOTO,United States of America,Health Department,City Government,"$374,219 "
OH ST DEPARTMENT OF MENTAL HEALTH,809550106,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$16,292,879 "
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$40,879,057 "
OH ST DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$12,401,541 "
OH ST DEPARTMENT OF MNTL RETARD & DEVPMT`L DISABILITIES,943161976,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,State Government,"$2,907,317 "
FOUR CORNERS HEALTH DEPARTMENT,155954550,YORK,NE,684671027,YORK,United States of America,Health Department,State Government,"$99,968 "
TX DEPT OF STATE HEALTH SERVICES,103989187,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"$1,743,152 "
TX DEPT OF STATE HEALTH SERVICES,806781373,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"($200,000)"
TX DEPT OF STATE HEALTH SERVICES,807391511,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"$322,448,747 "
INTERNATIONAL ANESTHESIA RESEARCH SOCIETY INC,97625685,SAN FRANCISCO,CA,94111,SAN FRANCISCO,United States of America,Other Health Organization,State Government,"$200,000 "
HOLMES COUNTY GENERAL HEALTH DISTRICT,967383865,MILLERSBURG,OH,446541166,HOLMES,United States of America,Other Health Organization,County Government,"$200,000 "
ASHTABULA COUNTY OF,85560394,ASHTABULA,OH,44004,ASHTABULA,United States of America,Hospital,County Government,"$82,900 "
CLEVELAND CITY DIVISION OF HEALTH,884644881,CLEVELAND,OH,44114,CUYAHOGA,United States of America,Health Department,City Government,"$2,570,321 "
CUYAHOGA COUNTY BOARD OF HEALTH,142289581,CLEVELAND,OH,44115,CUYAHOGA,United States of America,Health Department,County Government,"$6,193,319 "
LAKE COUNTY GENERAL HEALTH DISTRICT,93278422,PAINESVILLE,OH,44077,LAKE,United States of America,Health Department,County Government,"$69,935 "
Summit Combined General Health District,605748755,STOW,OH,442242933,SUMMIT,United States of America,Health Department,County Government,"$208,283 "
JOEL POMERENE MEMORIAL HOSPITAL,68904390,MILLERSBURG,OH,44654,HOLMES,United States of America,Hospital,County Government,"($85,000)"
MetroHealth System,71124291,CLEVELAND,OH,441091998,CUYAHOGA,United States of America,Hospital,County Government,"$578,062 "
Fulton County Health Department,963412606,WAUSEON,OH,43567,FULTON,United States of America,Health Department,County Government,"$125,000 "
LUCAS COUNTY HEALTH DEPARTMENT,103033317,TOLEDO,OH,43624,LUCAS,United States of America,Health Department,County Government,"$1,427,497 "
WOOD COUNTY HEALTH DEPARTMENT,782014708,BOWLING GREEN,OH,434029173,WOOD,United States of America,Health Department,County Government,"$1,897,769 "
Mental Health America of Indiana,72033475,INDIANAPOLIS,IN,46202,MARION,United States of America,Other Health Organization,State Government,"$200,000 "
CENTERSTONE OF INDIANA INC,70710942,BLOOMINGTON,IN,47403,MONROE,United States of America,Health Department,County Government,"$2,755,365 "
Porter County Substance Abuse Council,800794877,VALPARAISO,IN,46383,PORTER,United States of America,Other Health Organization,County Government,"$125,000 "
"Madison Cty Com Health Centers, Inc",111886680,ANDERSON,IN,46015,MADISON,United States of America,Other Health Organization,City Government,"$329,855 "
IN ST BOARD OF HEALTH,824799407,INDIANAPOLIS,IN,462043003,MARION,United States of America,Health Department,State Government,"$93,114,108 "
IN ST DEPARTMENT OF MENTAL HEALTH,83384771,INDIANAPOLIS,IN,46204,MARION,United States of America,Other Health Organization,State Government,"$42,368,807 "
IN ST PROTECTION & ADVOCACY SERVICE COMMISSION,177603487,INDIANAPOLIS,IN,46205,MARION,United States of America,Other Health Organization,State Government,"$1,552,282 "
WAYNE COUNTY HEALTH DEPARTMENT,798954413,RICHMOND,IN,47374,WAYNE,United States of America,Health Department,County Government,"$559,245 "
"BATESVILLE, CITY OF",87438255,BATESVILLE,IN,470061345,RIPLEY,United States of America,Other Health Organization,City Government,"$125,000 "
GOOD SAMARITAN HOSPITAL,71320501,VINCENNES,IN,47591,KNOX,United States of America,Hospital,County Government,$0 
HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY (THE),52952058,INDIANAPOLIS,IN,462052930,MARION,United States of America,Other Health Organization,County Government,"$10,625,137 "
EASTER SEALS METROPOLITAN CHICAGO,68497114,CHICAGO,IL,60604,COOK,United States of America,Other Health Organization,State Government,"$11,609,787 "
Will County Health Department,144385155,JOLIET,IL,604332799,WILL,United States of America,Health Department,County Government,"$1,913,390 "
ILLINOIS DEPT OF HUMAN SERVICES,67919071,CHICAGO,IL,60607,COOK,United States of America,Health Department,State Government,"$988,089,504 "
