Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards,Year
"HEALTH IMPERATIVES, INC",38338109,BROCKTON,MA,2301,PLYMOUTH,United States of America,Other Health Organization,State Government,"$1,526,000 ",2018
Town of Needham Health Department,76618867,NEEDHAM,MA,2492,NORFOLK,United States of America,Health Department,City Government,"$125,000 ",2018
Town of Scituate,957344146,SCITUATE,MA,2066,PLYMOUTH,United States of America,Health Department,City Government,"$125,000 ",2018
CIty of Newton Health and Human Services,76576826,NEWTON,MA,2459,MIDDLESEX,United States of America,Health Department,City Government,$0 ,2018
"SPRINGFIELD, MA, HLTH & HUMAN SRVS DEPT",198910523,SPRINGFIELD,MA,1103,HAMPDEN,United States of America,Health Department,City Government,"$2,445,845 ",2018
City of Worcester,65782575,WORCESTER,MA,1608,WORCESTER,United States of America,Other Health Organization,City Government,"$780,649 ",2018
FOXBOROUGH STATE HOSPITAL,878298900,FOXBOROUGH,MA,2035,NORFOLK,United States of America,Hospital,State Government,$0 ,2018
MA ST DEPARTMENT OF MENTAL HEALTH,73130932,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$13,764,503 ",2018
MA ST DEPARTMENT OF MENTAL HEALTH,878369362,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$4,291,179 ",2018
MA ST DEPARTMENT OF PUBLIC HEALTH,4726456,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$2,092,960 ",2018
MA ST DEPARTMENT OF PUBLIC HEALTH,73130932,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$40,114,281 ",2018
MA ST DEPARTMENT OF PUBLIC HEALTH,878298900,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$183,484,306 ",2018
"PLYMOUTH, COUNTY OF, INC.",790427798,BROCKTON,MA,23031665,PLYMOUTH,United States of America,Other Health Organization,State Government,"$125,000 ",2018
"Fund for Public Health in New York, Inc.",167227789,NEW YORK,NY,100071855,NEW YORK,United States of America,Health Department,City Government,"$6,243,159 ",2018
Town of Middletown,34316760,MIDDLETOWN,RI,2842,NEWPORT,United States of America,Other Health Organization,City Government,"$125,000 ",2018
RI ST DEPARTMENT OF HEALTH,111414582,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$3,159,525 ",2018
RI ST DEPARTMENT OF HEALTH,145310553,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$6,300,250 ",2018
RI ST DEPARTMENT OF HEALTH,929922664,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$42,218,534 ",2018
"RI ST DEPARTMENT OF MENTAL HEALTH, RETARDATION & HOSP",111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Health Department,State Government,"$21,351,834 ",2018
RI ST DEPT OF BEHAV HEALTHCARE DEV DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,"$2,167,007 ",2018
RI ST DEPT OF BEHAV HEALTHCARE DEVELOPMENTAL DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,"$825,000 ",2018
"PLANNED PARENTHOOD OF SOUTHERN NEW ENGLAND, INC",72132368,NEW HAVEN,CT,65112348,NEW HAVEN,United States of America,Other Health Organization,State Government,"$2,598,000 ",2018
DANBURY HOSPITAL,75394080,DANBURY,CT,6810,FAIRFIELD,United States of America,Hospital,City Government,"$1,299,571 ",2018
YALE NEW HAVEN HOSPITAL,75406561,NEW HAVEN,CT,65048900,NEW HAVEN,United States of America,Hospital,City Government,"$770,817 ",2018
HARTFORD HOSPITAL,65533796,HARTFORD,CT,6115,HARTFORD,United States of America,Hospital,City Government,"$1,863,650 ",2018
CORNELL SCOTT HILL HEALTH CORPORATION,10156370,NEW HAVEN,CT,65191233,NEW HAVEN,United States of America,Other Health Organization,City Government,"$7,947,182 ",2018
LEDGE LIGHT HEALTH DISTRICT,829794598,NEW LONDON,CT,63205335,NEW LONDON,United States of America,Health Department,County Government,"$195,000 ",2018
Marin City Health and Wellness Center,830668880,SAUSALITO,CA,949651107,MARIN,United States of America,Hospital,City Government,"$2,135,671 ",2018
CT ST DEPT OF PUBLIC HEALTH,807853791,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$60,553,530 ",2018
CT ST DEPARTMENT OF MENTAL HEALTH & ADDICTION SVCS,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$32,591,786 ",2018
CT ST DEPARTMENT OF MENTAL HEALTH & ADDICTION SVCS,807853791,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"($10,853,761)",2018
CT ST DEPARTMENT OF MENTAL RETARDATION,807852694,HARTFORD,CT,61061308,HARTFORD,United States of America,Other Health Organization,State Government,"$713,800 ",2018
CT ST DEPT OF MENTAL HLTH & ADDICITION SERVICES,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Other Health Organization,State Government,"$18,479,143 ",2018
CT ST DEPARTMENT OF HEALTH,807853791,BRIDGEPORT,CT,6604,FAIRFIELD,United States of America,Health Department,State Government,"$2,631,620 ",2018
"UNIVERSITY OF CONNECTICUT HEALTH CENTER, J DEMPSEY HOSP",22254226,FARMINGTON,CT,6032,HARTFORD,United States of America,Hospital,State Government,$0 ,2018
OFFICE OF HEALTH STRATEGY,80974802,HARTFORD,CT,6144,HARTFORD,United States of America,Other Health Organization,State Government,"$21,706,889 ",2018
"HARTFORD CITY, DEPARTMENT OF HEALTH",198349602,HARTFORD,CT,6112,HARTFORD,United States of America,Health Department,City Government,"$4,974,866 ",2018
NEW HAVEN CITY DEPARTMENT OF PUBLIC HEALTH,75396754,NEW HAVEN,CT,6519,NEW HAVEN,United States of America,Health Department,City Government,"$5,554,761 ",2018
STRATFORD DEPARTMENT OF HEALTH,72134414,STRATFORD,CT,6497,FAIRFIELD,United States of America,Health Department,City Government,"$125,000 ",2018
Town of Suffield,839851115,SUFFIELD,CT,60783074,HARTFORD,United States of America,Other Health Organization,City Government,"$247,500 ",2018
NH DHHS Office of Minority Health,11040545,CONCORD,NH,33013857,MERRIMACK,United States of America,Other Health Organization,State Government,"($66,000)",2018
NASSAU COUNTY HEALTH DEPARTMENT,60656886,MINEOLA,NY,115014245,NASSAU,United States of America,Health Department,County Government,"$5,644,615 ",2018
SUFFOLK COUNTY DEPARTMENT OF HEALTH SERVICES,129090267,HAUPPAUGE,NY,11788,SUFFOLK,United States of America,Health Department,County Government,"$70,000 ",2018
"New York Blood Center, Inc.",73271827,NEW YORK,NY,10021,NEW YORK,United States of America,Other Health Organization,City Government,"$7,642,961 ",2018
ELMHURST HOSPITAL CENTER/NYC HEALTH & HOPITAL COPR.,86060423,ELMHURST,NY,11373,QUEENS,United States of America,Hospital,City Government,"$1,311,142 ",2018
"COUTY OF ROCKLAND, DEPARTMENT OF FINANCE",75437848,NEW CITY,NY,10956,ROCKLAND,United States of America,Other Health Organization,County Government,"$996,806 ",2018
WESTCHESTER COUNTY DEPARTMENT OF HEALTH,72705213,NEW ROCHELLE,NY,10801,WESTCHESTER,United States of America,Health Department,County Government,"$225,000 ",2018
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,CHURCH STREET,NY,100071307,NEW YORK,United States of America,Health Department,City Government,"$164,023,407 ",2018
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,NEW YORK,NY,10013,NEW YORK,United States of America,Health Department,City Government,"$9,230,045 ",2018
"HEALTH RESEARCH, INC.",2436061,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$218,817,617 ",2018
"HEALTH RESEARCH, INC.",153695478,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$13,680,080 ",2018
"HEALTH RESEARCH, INC.",153695809,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$27,263,127 ",2018
"HEALTH RESEARCH, INC.",157119244,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$450,214 ",2018
"HEALTH RESEARCH, INC.",157119657,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$19,423,532 ",2018
"HEALTH RESEARCH, INC.",620832753,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$8,366,595 ",2018
UNIVERSITY HOSPITAL OF DOWNSTATE MEDICAL CENTER,40796328,NEW YORK-KINGS,NY,11203,KINGS,United States of America,Hospital,State Government,"$23,652,996 ",2018
UNIVERSITY HOSPITAL OF UPSTATE MEDICAL CENTER,58889106,SYRACUSE,NY,132102342,ONONDAGA,United States of America,Hospital,State Government,"$17,938,516 ",2018
NY ST COMMISSION ON QUALITY OF CARE,138927319,SCHENECTADY,NY,123052397,SCHENECTADY,United States of America,Other Health Organization,State Government,"$770,787 ",2018
NYS Office of Mental Health,135407026,ALBANY,NY,12229,ALBANY,United States of America,Health Department,State Government,"$46,451,366 ",2018
NYS Office of Alcoholism and Substance Abuse Services,136153207,ALBANY,NY,122033526,ALBANY,United States of America,Health Department,State Government,"$112,106,839 ",2018
DC DEPARTMENT OF MENTAL HEALTH,14384031,WASHINGTON,DC,200023329,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$2,047,255 ",2018
Department of Behavioral Health & Developmental Service,627383102,RICHMOND,VA,23218,**RICHMOND,United States of America,Health Department,State Government,"$825,000 ",2018
CAYUGA COUNTY MENTAL HEALTH CENTER,809609410,AUBURN,NY,13021,CAYUGA,United States of America,Hospital,County Government,"$1,000,000 ",2018
Madison County,75824151,WAMPSVILLE,NY,13163,MADISON,United States of America,Health Department,County Government,"$104,700 ",2018
ONONDAGA COUNTY DEPARTMENT OF HEALTH,25345039,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$1,139,160 ",2018
ONONDAGA COUNTY DEPARTMENT OF HEALTH,31304194,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,$0 ,2018
ONONDAGA COUNTY DEPARTMENT OF HEALTH,781693569,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$1,000,000 ",2018
County of Otsego,947057733,ONEONTA,NY,138202527,OTSEGO,United States of America,Other Health Organization,County Government,"$999,996 ",2018
County of Schuyler,39551270,WATKINS GLEN,NY,14891,SCHUYLER,United States of America,Health Department,County Government,"$125,000 ",2018
"FAMILY HEALTH NETWORK OF CENTRAL NEW YORK, INC",55922041,CORTLAND,NY,13045,CORTLAND,United States of America,Other Health Organization,County Government,"$2,396,815 ",2018
ROCHESTER BUREAU OF HUMAN SERVICES,2465805,ROCHESTER,NY,14614,MONROE,United States of America,Health Department,City Government,"$637,690 ",2018
Chautauqua County Department of Mental Hygiene,74035726,MAYVILLE,NY,14757,CHAUTAUQUA,United States of America,Other Health Organization,County Government,"$1,200,000 ",2018
ERIE COUNTY MEDICAL CENTER,879196178,BUFFALO,NY,142153021,ERIE,United States of America,Hospital,County Government,"$724,707 ",2018
ERIE COUNTY HEALTH DEPARTMENT,92960785,BUFFALO,NY,14202,ERIE,United States of America,Health Department,County Government,"$100,000 ",2018
MONROE COUNTY HEALTH DEPARTMENT,79678249,ROCHESTER,NY,146928932,MONROE,United States of America,Health Department,County Government,"$299,057 ",2018
Niagara County Department of Mental Health,67523886,LOCKPORT,NY,140941895,NIAGARA,United States of America,Health Department,County Government,"$226,346 ",2018
Faces and Voices of Recovery South Carolina,832733237,WEST COLUMBIA,SC,29169,LEXINGTON,United States of America,Other Health Organization,State Government,"$175,000 ",2018
"Adams County Health Center, Inc.",20924403,COUNCIL,ID,83612,ADAMS,United States of America,Hospital,County Government,"$1,516,203 ",2018
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,806418075,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$274,121,603 ",2018
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,806418257,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$2,774,404 ",2018
NJ ST DEPARTMENT OF PUBLIC HEALTH,806418075,TRENTON,NJ,8625,MERCER,United States of America,Health Department,State Government,"$794,650 ",2018
NJ ST Dept of Children and Families,784995503,TRENTON,NJ,8625,MERCER,United States of America,Other Health Organization,State Government,"$149,778,944 ",2018
City of Vineland Department of Health,73739955,VINELAND,NJ,83621508,CUMBERLAND,United States of America,Health Department,City Government,"$48,638 ",2018
HACKENSACK MEDICAL CENTER,42797571,HACKENSACK,NJ,7601,BERGEN,United States of America,Other Health Organization,City Government,"$6,510,584 ",2018
"PATERSON, CITY OF (INC)",968116319,PATERSON,NJ,75051414,PASSAIC,United States of America,Health Department,City Government,"$4,394,252 ",2018
"SECAUCUS, TOWN OF",80619414,SECAUCUS,NJ,70943226,HUDSON,United States of America,Health Department,City Government,"$125,000 ",2018
"Franklin County Head Start Program, Inc.",193663762,CHAMBERSBURG,PA,17201,FRANKLIN,United States of America,Other Health Organization,County Government,"$3,145,772 ",2018
UPMC Altoona,72166259,ALTOONA,PA,166014899,BLAIR,United States of America,Hospital,City Government,"$379,366 ",2018
LANCASTER GENERAL HOSPITAL,69784924,LANCASTER,PA,17603,LANCASTER,United States of America,Hospital,City Government,"$392,748 ",2018
CMSU BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES,160217188,DANVILLE,PA,178210219,MONTOUR,United States of America,Other Health Organization,County Government,"$1,501,840 ",2018
PHILADELPHIA CITY DEPT OF PUBLIC HEALTH ENVIRONMENT,136968026,PHILADELPHIA,PA,19146,PHILADELPHIA,United States of America,Health Department,City Government,"$394,162 ",2018
CITY OF PHILADELPHIA DEPT OF BEHAV HLTH INTELL DIS SERV,809134484,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Hospital,City Government,"$1,135,833 ",2018
PA ST DEPARTMENT OF HEALTH,614489839,HARRISBURG,PA,17105,DAUPHIN,United States of America,Health Department,State Government,"$67,694,851 ",2018
PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,614489839,HARRISBURG,PA,17101,DAUPHIN,United States of America,Health Department,State Government,"$89,289,102 ",2018
PA ST DHS Office of Mental Health and Substance Abuse,796567790,HARRISBURG,PA,171103593,DAUPHIN,United States of America,Other Health Organization,State Government,"$6,573,952 ",2018
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,106979198,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"($1,861)",2018
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$7,767,787 ",2018
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$5,705,583 ",2018
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,624614876,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$1,595,000 ",2018
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,106979198,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$999,658 ",2018
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$15,796,744 ",2018
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$1,634,190 ",2018
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,621122852,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$12,758,758 ",2018
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,624047689,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$365,529 ",2018
"NORTHERN OSWEGO COUNTY HEALTH SERVICES, INC",38366357,PULASKI,NY,131421200,OSWEGO,United States of America,Other Health Organization,County Government,"$3,028,581 ",2018
"CODAC HEALTH, RECOVERY, & WELLNESS, INC.",139453005,TUCSON,AZ,857192374,PIMA,United States of America,Other Health Organization,County Government,"($45,030)",2018
TIBURCIO VASQUEZ HEALTH CENTER,102906120,UNION CITY,CA,945872137,ALAMEDA,United States of America,Other Health Organization,City Government,"$2,708,758 ",2018
KENNETH YOUNG CENTER,83078667,ELK GROVE VILLAG,IL,60007,COOK,United States of America,Hospital,County Government,"$125,000 ",2018
GARRETT COUNTY HEALTH DEPARTMENT,136568941,OAKLAND,MD,21550,GARRETT,United States of America,Health Department,County Government,"$325,000 ",2018
NATIONAL EMERGENCY MANAGEMENT ASSOCIATION,77303399,LEXINGTON,KY,405781910,FAYETTE,United States of America,Hospital,County Government,"$100,000 ",2018
County of Luzerne,60513058,WILKES BARRE,PA,187110001,LUZERNE,United States of America,Other Health Organization,County Government,"$850,759 ",2018
BUTLER HEALTHCARE PROVIDERS,68718253,BUTLER,PA,160014670,BUTLER,United States of America,Hospital,County Government,"$200,000 ",2018
"CENTERVILLE CLINIC, INC",30064141,FREDERICKTOWN,PA,15333,WASHINGTON,United States of America,Other Health Organization,City Government,"$6,212,939 ",2018
"HUNTINGDON COUNTY CHILD DEVELOPMENT, INC",86729514,HUNTINGDON,PA,16652,HUNTINGDON,United States of America,Other Health Organization,County Government,"$2,405,705 ",2018
Mercer County Behavioral Health Commission,832693345,MERCER,PA,161373138,MERCER,United States of America,Other Health Organization,County Government,"$125,000 ",2018
CLARION UNIVERSITY OF PENNSYLVANIA,72153737,CLARION,PA,16214,CLARION,United States of America,Hospital,State Government,"$398,128 ",2018
ALLEGHENY COUNTY HEALTH DEPARTMENT,1905736,PITTSBURGH,PA,15219,ALLEGHENY,United States of America,Health Department,County Government,"$968,330 ",2018
Beaver County Behavioral Health,68754019,BEAVER FALLS,PA,15010,BEAVER,United States of America,Health Department,County Government,"$400,000 ",2018
"Georgia Partnership for Telehealth, Inc.",15505792,WAYCROSS,GA,31501,WARE,United States of America,Other Health Organization,State Government,"$606,250 ",2018
DHHS Indian Health Service,71412092,ROCKVILLE,MD,20852,MONTGOMERY,United States of America,Other Health Organization,Federal Government,"($318,701)",2018
SoberHood,31479549,AUSTIN,TX,78722,TRAVIS,United States of America,Other Health Organization,State Government,"$134,235 ",2018
Bartz-Altadonna Community Health Center,965016087,LANCASTER,CA,935343105,LOS ANGELES,United States of America,Hospital,State Government,"$1,863,902 ",2018
Barry County Community Mental Health Authority (BCCMHA),829789879,HASTINGS,MI,49058,BARRY,United States of America,Other Health Organization,State Government,"$175,000 ",2018
"Greeley County Health Services, Inc",612532296,TRIBUNE,KS,678799684,GREELEY,United States of America,Health Department,County Government,"$130,070 ",2018
"WIRT COUNTY HEALTH SERVICES ASSOCIATION, INC",99515637,ELIZABETH,WV,26143,WIRT,United States of America,Other Health Organization,County Government,"$2,422,569 ",2018
MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,78655261,UNION,WV,24983,MONROE,United States of America,Other Health Organization,County Government,"$2,577,766 ",2018
STATE OF OHIO - DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$67,346,827 ",2018
STATE OF OHIO - DEPARTMENT OF HEALTH,809172653,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$2,197,074 ",2018
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$36,437,766 ",2018
"ADMINISTRATIVE SERVICES, OHIO DEPARTMENT OF",809376072,COLUMBUS,OH,432153414,FRANKLIN,United States of America,Health Department,State Government,"$250,000 ",2018
Hamilton County Mental Health and Recovery Svcs Board,125496922,CINCINNATI,OH,45219,HAMILTON,United States of America,Health Department,County Government,$0 ,2018
CINCINNATI CITY HEALTH DEPARTMENT,134652473,CINCINNATI,OH,45229,HAMILTON,United States of America,Health Department,City Government,"$3,516,793 ",2018
CityofCincinnati Office of Environment & Sustainability,43325158,CINCINNATI,OH,45202,HAMILTON,United States of America,Health Department,City Government,"($62,939)",2018
ADAMS COUNTY AUDITOR,831324686,WEST UNION,OH,45693,ADAMS,United States of America,Health Department,County Government,"$250,000 ",2018
"FRANKLIN COUNTY ALCOHOL, DRUG & MENTAL HEALTH BOARD",135778574,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,County Government,"$295,187 ",2018
"COLUMBUS, CITY OF",932901762,COLUMBUS,OH,432155331,FRANKLIN,United States of America,Health Department,City Government,"$5,507,942 ",2018
FAIRFIELD CO. MUNICIPAL COURT,621428713,LANCASTER,OH,43130,FAIRFIELD,United States of America,Other Health Organization,State Government,"$239,463 ",2018
Portsmouth City Health Department,92155043,PORTSMOUTH,OH,456623919,SCIOTO,United States of America,Health Department,City Government,"$367,886 ",2018
OH ST DEPARTMENT OF MENTAL HEALTH,808847669,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$21,444,633 ",2018
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$32,495,500 ",2018
OH ST DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$7,620,210 ",2018
OH ST DEPARTMENT OF MNTL RETARD & DEVPMT`L DISABILITIES,943161976,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,State Government,"$2,846,720 ",2018
FOUR CORNERS HEALTH DEPARTMENT,155954550,YORK,NE,684671027,YORK,United States of America,Health Department,State Government,"$100,000 ",2018
TX DEPT OF STATE HEALTH SERVICES,806781373,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"($8,117,003)",2018
TX DEPT OF STATE HEALTH SERVICES,807391511,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"$162,354,002 ",2018
INTERNATIONAL ANESTHESIA RESEARCH SOCIETY INC,97625685,SAN FRANCISCO,CA,94111,SAN FRANCISCO,United States of America,Other Health Organization,State Government,"$350,000 ",2018
HOLMES COUNTY GENERAL HEALTH DISTRICT,967383865,MILLERSBURG,OH,446541166,HOLMES,United States of America,Other Health Organization,County Government,"$185,482 ",2018
ASHTABULA COUNTY OF,85560394,ASHTABULA,OH,44004,ASHTABULA,United States of America,Hospital,County Government,"$82,900 ",2018
CLEVELAND CITY DIVISION OF HEALTH,884644881,CLEVELAND,OH,44114,CUYAHOGA,United States of America,Health Department,City Government,"$2,347,499 ",2018
CUYAHOGA COUNTY BOARD OF HEALTH,142289581,CLEVELAND,OH,44115,CUYAHOGA,United States of America,Health Department,County Government,"$6,346,472 ",2018
LAKE COUNTY GENERAL HEALTH DISTRICT,93278422,PAINESVILLE,OH,44077,LAKE,United States of America,Health Department,County Government,"$55,507 ",2018
Summit Combined General Health District,605748755,STOW,OH,442242933,SUMMIT,United States of America,Health Department,County Government,"$784,268 ",2018
MetroHealth System,71124291,CLEVELAND,OH,441091998,CUYAHOGA,United States of America,Hospital,County Government,"$789,359 ",2018
Fulton County Health Department,963412606,WAUSEON,OH,43567,FULTON,United States of America,Health Department,County Government,"$125,000 ",2018
LUCAS COUNTY HEALTH DEPARTMENT,103033317,TOLEDO,OH,43624,LUCAS,United States of America,Health Department,County Government,"$729,122 ",2018
WOOD COUNTY HEALTH DEPARTMENT,782014708,BOWLING GREEN,OH,434029173,WOOD,United States of America,Health Department,County Government,"$971,787 ",2018
Mental Health America of Indiana,72033475,INDIANAPOLIS,IN,46202,MARION,United States of America,Other Health Organization,State Government,"$175,000 ",2018
CENTERSTONE OF INDIANA INC,70710942,BLOOMINGTON,IN,47403,MONROE,United States of America,Health Department,County Government,"$4,905,365 ",2018
Porter County Substance Abuse Council,800794877,VALPARAISO,IN,46383,PORTER,United States of America,Other Health Organization,County Government,"$250,000 ",2018
Carroll County Health Department,968471636,WESTMINSTER,MD,211575219,CARROLL,United States of America,Health Department,County Government,"$1,000,000 ",2018
Clark County - Circuit Court #4,16049194,JEFFERSONVILLE,IN,47130,CLARK,United States of America,Health Department,County Government,"$424,360 ",2018
IN ST BOARD OF HEALTH,824799407,INDIANAPOLIS,IN,462043003,MARION,United States of America,Health Department,State Government,"$125,118,933 ",2018
