,self_employed,company_size,tech_or_not,tech_it,employer_provide_coverage,mh_care_options_coverage,wellness_program_discuss,resources_mh_help,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,leave,talk_ph_mh_coworkers,talk_mh_supervisors,talk_mh_employer,talk_mh_coworkers,coworker_discuss_mh,importance_ph_employer,importance_mh_employer,previous_employer,prev_tech_or_not,prev_mh_coverage,Were you aware of the options for mental health care provided by your previous employers?,prev_wellness_program_discuss,prev_resources_mh_help,prev_anonymity_mh_treatment,prev_discuss_ph_mh,prev_discuss_mh_supervisors,prev_discuss_employer,prev_discuss_coworkers,prev_coworkers_discuss_mh,describe_conversation,prev_employer_importance_ph,prev_emploey_importance_mh,currently_dx_mh,past_mh_disorder,treatment_for_mh_by_mh_professional,mh_family_history,if_mh_treated_effectively_interfere_work,if_mh_not_treated_effectively_interfere_work,not_reveal_mh_because_observations,share_mh_family_friends,interview_ph,why_why_not_ph,interview_mh,why_why_not_mh,identified_work_mh_individual,reaction_towards_mh,employer_unsuportive_response_mh,unsuportive_desciption,employer_suportive_response_mh,tech_industry_support_mh_issues,age,gender,country_live,state_live,ethnicity,country_work,state_work,key
10,False,100-500,True,True,Yes,Yes,No,I don't know,Yes,Very easy,Same level of comfort for each,Yes,True,Yes,True,5.0,5.0,False,,,,,,,,,,,,,,,Possibly,Possibly,True,No,Not applicable to me,Sometimes,,5,Yes,,No,,False,5,Maybe/Not sure,,"Yes, I experienced",4,40,M,United Kingdom,,,United Kingdom,,45
11,True,,,,,,,,,,,,,,,,,True,True,"No, none did",N/A (none offered),Some did,Some did,No,Physical health,Some of my previous supervisors,True,False,True,can't remember in detail,7.0,5.0,No,No,False,No,Not applicable to me,Not applicable to me,No,4,Yes,usually relatively simple to adjust to physical limitations with some tools.,No,most employers don't know how to handle such issues and mostly see obstacles and expect more sick time,False,6,No,,"Yes, I observed",2,37,male,Netherlands,,,Netherlands,,45
12,False,More than 1000,True,True,I don't know,No,No,No,Yes,Somewhat easy,Physical health,Yes,False,Maybe,False,7.0,7.0,True,True,Some did,"No, I only became aware later",None did,Some did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,9.0,6.0,Possibly,Possibly,True,Yes,Not applicable to me,Often,,8,Maybe,"I feel like things not-relevant to my job would potentially not come up. It would depend. At the same time, it'd be pretty common place in an interview to say, ""I've been feeling ill lately"" or ""I recently broke my arm"" without thinking about it.",No,I would be worried it would affect how I am viewed in the interview and affect my candidacy for the position.,False,7,No,,Maybe/Not sure,3,31,Male,United States of America,Connecticut,White,United States of America,Connecticut,45
13,False,500-1000,True,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Same level of comfort for each,Yes,True,Yes,False,7.0,5.0,False,,,,,,,,,,,,,,,Yes,Yes,True,Yes,Rarely,Often,No,6,No,,No,,False,5,No,,No,4,37,Male,United States of America,Georgia,White,United States of America,Georgia,45
14,False,100-500,True,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Physical health,No,False,No,False,7.0,7.0,True,True,"Yes, they all did",I was aware of some,None did,None did,No,Physical health,"No, none of my previous supervisors",False,False,False,,10.0,2.0,Yes,Don't Know,True,No,Sometimes,Often,Yes,2,Yes,,No,fear of discrimination,False,2,"Yes, I observed",judging people who went to therapy,"Yes, I observed",3,26,female,United States of America,Pennsylvania,White,United States of America,Pennsylvania,45
15,False,100-500,False,True,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Physical health,Maybe,True,Maybe,False,4.0,2.0,True,False,"No, none did",N/A (none offered),Some did,None did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,4.0,1.0,Yes,Possibly,False,No,Rarely,Often,No,9,Maybe,"It depends on the circumstance--whether the health issue might have a reasonable impact on one's ability to succeed at the job, or not.",No,"Mental health is still largely stigmatised. Unless the interviewer mentions his/her own struggles **first**, it's arguably too risky to bring up one's own issues in an interview setting even if they are a non-factor in one's ability to do the job offered.",False,7,No,,Maybe/Not sure,3,43,M,Canada,,,Canada,,45
16,False,100-500,True,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,True,Yes,True,7.0,9.0,True,False,Some did,I was aware of some,Some did,Some did,Sometimes,Physical health,"No, none of my previous supervisors",False,True,False,,5.0,5.0,Possibly,Yes,True,Yes,Sometimes,Often,No,9,Maybe,It depends on the issue. I would be worried that a serious issue would cost me a job. ,No,It could cost me a job. I'd rather conceal an issue and get a job that could help me get treatment than be honest and lose the job. ,False,9,"Yes, I observed",I've seen people mocked for depression and for taking mental health days when it seemed detrimental to the team.,"Yes, I experienced",2,35,Male,United States of America,North Carolina,White,United States of America,North Carolina,45
17,True,,,,,,,,,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,False,True,,4.0,4.0,No,No,False,Yes,Not applicable to me,Not applicable to me,No,1,Maybe,,Maybe,,False,3,No,,Maybe/Not sure,4,31,male,Turkey,,,Turkey,,45
18,False,100-500,True,True,Yes,No,Yes,I don't know,Yes,Very easy,Same level of comfort for each,Yes,False,Yes,False,6.0,6.0,True,False,"No, none did",N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",False,False,True,"People would tell me about other peoples abuse problems, depression, anxiety",1.0,1.0,Possibly,Possibly,False,Yes,Not applicable to me,Sometimes,No,10,No,Too personal for an interview ,No,Too personal for an interview,False,10,"Yes, I observed",People weren't allowed to take enough time off and supervisors were not supportive of time off for mental health ,"Yes, I observed",3,32,F,United States of America,New York,I prefer not to answer,United States of America,New York,45
19,False,More than 1000,True,True,Yes,Yes,Yes,Yes,I don't know,I don't know,Physical health,Maybe,False,No,False,7.0,6.0,True,True,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,I don't know,Physical health,"No, none of my previous supervisors",False,True,True,,6.0,5.0,Yes,Possibly,True,I don't know,Sometimes,Often,No,7,No,,No,,False,3,Maybe/Not sure,,No,3,37,Male,United States of America,Wisconsin,White,United States of America,Washington,45
20,False,6-25,True,True,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,True,Yes,False,8.0,7.0,True,True,Some did,I was aware of some,None did,Some did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,6.0,5.0,No,Don't Know,False,I don't know,Not applicable to me,Not applicable to me,No,6,No,Fear of being judged less capable.,No,Fear of being judged less capable.,False,5,No,,No,3,41,Male,United States of America,Tennessee,White,United States of America,Tennessee,45
21,False,100-500,True,False,Yes,Yes,Yes,Yes,I don't know,I don't know,Physical health,Yes,True,Yes,False,10.0,10.0,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",False,True,True,It was not their own mental health; it was all gossip about someone else's mental health. It was unkind and basically came with the assumption that people with mental health issues are not capable of functioning on a level that people without mental health issues can function on.,1.0,1.0,Yes,Yes,True,Yes,Rarely,Often,Yes,8,No,"I strongly feel that this is neither anyone's right to know, nor business, if they have not hired me. ",No,same as above.,False,5,"Yes, I observed",I have seen someone be terminated for enrolling in a mental health outpatient program,"Yes, I experienced",4,40,f,United States of America,New York,I prefer not to answer,United States of America,New York,45
22,False,500-1000,True,True,I don't know,No,No,No,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,True,Yes,False,9.0,5.0,True,True,"No, none did","No, I only became aware later",Some did,None did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,True,True,False,,9.0,5.0,Yes,Yes,True,I don't know,Sometimes,Sometimes,No,8,Yes,"If they need to make accommodations, it's better to let them know what they need to prepare for ",No,I feel there is still a stigma around mental health which I feel will impact the decision to hire ,True,5,"Yes, I observed",A Person was let go because they kept taking off to visit their therapist ,Maybe/Not sure,3,37,male,United States of America,New York,White,United States of America,New York,45
23,False,100-500,True,True,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,True,No,False,6.0,3.0,True,True,Some did,I was aware of some,None did,None did,No,Physical health,Some of my previous supervisors,True,True,False,,5.0,2.0,Possibly,Yes,True,Yes,Sometimes,Sometimes,No,2,No,"Laws notwithstanding, it is nearly impossible to prove discrimination.",No,"It's a competitive arena, especially if you want a job that pays a living wage.  When you're over 50, it's hard enough to get a job as it is.",False,3,"Yes, I experienced","A manager from the PRC was not equipped to regard his reports as humans vs robots.

Another manager is a self-styled ""libertarian"" aka ""elitist"" with a dog-eat-dog mentality.",No,2,53,"Let's keep it simple and say ""male""",United States of America,Oregon,White,United States of America,Oregon,45
24,False,6-25,True,True,I don't know,No,No,No,I don't know,Very easy,Physical health,No,False,Yes,False,1.0,1.0,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,0.0,0.0,No,Possibly,True,Yes,Sometimes,Often,Maybe,0,Yes,"Physical concerns are quantifiable and ""Wheelchair Ramps"" are a viable solution. With mental health issues the concerns are not quantifiable and viable solutions can't be generated by anyone besides the afflicted.",No,I don't want it to affect my evaluation vs other applicants.,False,10,No,,No,1,29,male,United States of America,Tennessee,More than one of the above,United States of America,Tennessee,45
25,False,500-1000,True,True,I don't know,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,True,Yes,True,5.0,9.0,True,True,Some did,N/A (was not aware),None did,Some did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",True,True,False,,3.0,7.0,Yes,Yes,True,Yes,Rarely,Sometimes,No,10,Maybe,"Well, physical is weird. Might make them think i’ll Take a ton of sick days",Maybe,"I don’t know them that well and I assume everyone has some form of these issues in a creative job like ours
",True,10,No,,"Yes, I observed",5,37,Male,United States of America,New York,White,United States of America,New York,45
26,False,100-500,False,True,I don't know,No,No,I don't know,I don't know,Somewhat easy,Physical health,No,False,No,False,10.0,0.0,True,True,Some did,I was aware of some,Some did,None did,I don't know,Physical health,Some of my previous supervisors,True,True,True,We talked about the medications we were taking and how they were working. ,8.0,5.0,Yes,Yes,True,Yes,Rarely,Sometimes,Yes,10,No,"It's not their business, especially if it doesn't affect my work.",No,It's not their business if it doesn't affect my work. And I wouldn't want it to affect my chances at getting hired.,False,5,Maybe/Not sure,,"Yes, I experienced",4,45,female,United States of America,Wisconsin,White,United States of America,Wisconsin,45
27,False,6-25,True,True,I don't know,No,No,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,True,Yes,False,6.0,6.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",True,True,True,They mentioned they have had help in the past whilst they were advising me to get professional help.,6.0,6.0,Possibly,No,False,No,Not applicable to me,Often,No,10,No,That would burn all bridges towards a job I'd really want,No,That would burn all bridges towards a job I'd really want,False,10,No,,"Yes, I experienced",3,26,Male,Netherlands,,,Netherlands,,45
28,False,100-500,True,True,Yes,Yes,Yes,Yes,I don't know,Very easy,Physical health,Yes,True,Maybe,True,5.0,7.0,True,True,Some did,N/A (was not aware),Some did,Some did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,7.0,3.0,Yes,Yes,True,Yes,Rarely,Often,No,8,Yes,"Because it probably won't affect my work, and if it does it will likely only do so temporarily.",No,Because I worry it would negatively affect my chances of getting the job.,False,9,Maybe/Not sure,,"Yes, I experienced",4,28,Male,United States of America,Colorado,White,United States of America,Colorado,45
29,False,100-500,True,True,Yes,Yes,Yes,No,I don't know,I don't know,Physical health,Yes,True,No,False,7.0,7.0,False,,,,,,,,,,,,,,,Yes,Yes,True,I don't know,Sometimes,Sometimes,No,7,Yes,Physical issues are more widely accepted as reasons to be incapable of performing duties to their full extent. ,No,"Mental health issues have a much larger stigma around them that would negatively affect my chances at getting a job. Also as I can continue to function relatively normally with my issues, I can get away with not expressing them.",False,4,No,,No,3,24,Female,United States of America,Massachusetts,White,United States of America,Massachusetts,45
30,False,100-500,True,True,Yes,Yes,No,I don't know,I don't know,Very easy,Physical health,Maybe,False,Maybe,True,5.0,5.0,True,True,"Yes, they all did",I was aware of some,Some did,"Yes, they all did",I don't know,Mental health,Some of my previous supervisors,False,True,True,,5.0,5.0,Possibly,Possibly,False,Yes,Not applicable to me,Not applicable to me,No,7,No,,No,,False,5,"Yes, I observed",,Maybe/Not sure,4,27,Male,United States of America,Tennessee,White,United States of America,Tennessee,45
31,False,100-500,False,True,Yes,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,False,Maybe,False,8.0,7.0,True,False,Some did,I was aware of some,None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",True,True,False,,7.0,5.0,No,Yes,True,No,Rarely,Sometimes,No,9,No,Only cross that bridge when it comes to you. Too much information ahead of time is not beneficial.,No,Same reasons as before. Only bring the information if required.,False,5,Maybe/Not sure,,Maybe/Not sure,3,42,Male,United States of America,Florida,White,United States of America,Florida,45
32,True,,,,,,,,,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,I don't know,False,False,False,,2.0,2.0,No,No,False,No,Not applicable to me,Not applicable to me,,5,Maybe,Depends on the specific issue and its relevance to the job.,Maybe,Depends on the issue and its relevance to the job.,False,5,No,,No,4,53,Female,United States of America,Minnesota,White,United States of America,Minnesota,45
33,False,100-500,False,True,Not eligible for coverage / NA,,Yes,No,I don't know,Very easy,Physical health,Yes,False,Yes,True,9.0,6.0,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,5.0,0.0,Possibly,Don't Know,False,No,Not applicable to me,Not applicable to me,No,4,Maybe,,No,I would be concerned it would affect my chances of a job,False,10,"Yes, I observed",People joking and being dismissive about mental health issues,"Yes, I observed",2,34,Male,United Kingdom,,,United Kingdom,,45
34,False,500-1000,False,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Physical health,Yes,True,Yes,True,7.0,7.0,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,True,True,,4.0,3.0,Yes,Possibly,True,I don't know,Sometimes,Often,No,5,Maybe,,No,,True,7,"Yes, I experienced",,"Yes, I experienced",2,23,Non-binary,United Kingdom,,,United Kingdom,,45
35,False,More than 1000,False,True,I don't know,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Maybe,False,Maybe,False,4.0,4.0,False,,,,,,,,,,,,,,,Don't Know,No,False,I don't know,Not applicable to me,Not applicable to me,No,5,Maybe,If I thought it would be useful (to me) for them to know ahead of time.,Maybe,If I thought it would be useful (to me) for them to know ahead of time.,False,5,No,,No,4,34,M,United States of America,Tennessee,White,United States of America,Tennessee,45
36,False,6-25,True,True,I don't know,No,No,No,Yes,Very easy,Same level of comfort for each,Yes,False,Yes,False,8.0,5.0,True,True,Some did,I was aware of some,Some did,"Yes, they all did","Yes, always",Physical health,Some of my previous supervisors,False,False,False,,3.0,3.0,Possibly,Possibly,False,Yes,Sometimes,Often,Maybe,5,Yes,Transparency is key.,No,Don't want them to think I'm crazy,False,5,No,,No,4,27,Male,United States of America,Tennessee,White,United States of America,Tennessee,45
37,False,100-500,True,True,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Physical health,No,False,Maybe,False,9.0,7.0,True,False,"No, none did","No, I only became aware later",None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",False,False,False,,5.0,3.0,Possibly,Possibly,True,I don't know,Not applicable to me,Not applicable to me,Maybe,5,Maybe,I would not bring it up if I thought it would affect my chances of getting the job.,No,Would introduce bias against me.,False,4,Maybe/Not sure,,"Yes, I observed",3,31,Male,United States of America,New York,White,United States of America,New York,45
38,True,,,,,,,,,,,,,,,,,True,True,"No, none did",N/A (none offered),None did,None did,No,Physical health,Some of my previous supervisors,False,True,True,Burnout,5.0,0.0,No,No,False,No,Not applicable to me,Not applicable to me,No,8,Yes,Physical issues seem less taboo,Maybe,Depends on the employer / client,False,8,"Yes, I observed",Fired the person with a burnout,"Yes, I observed",3,30,Male,Belgium,,,Belgium,,45
39,True,,,,,,,,,,,,,,,,,True,True,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,False,True,True,,5.0,4.0,Yes,Yes,True,No,Sometimes,Often,No,6,Maybe,,No,,False,5,Maybe/Not sure,,Maybe/Not sure,3,58,Male,United States of America,Illinois,White,United States of America,Illinois,45
40,False,More than 1000,False,True,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Physical health,Yes,False,Yes,False,8.0,6.0,True,False,Some did,I was aware of some,None did,Some did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,5.0,3.0,No,No,False,No,Not applicable to me,Not applicable to me,No,7,No,"Unless it requires special accomodation by them, it is none of their business",No,"Same as above - unless it requires special accommodation by them, it is none of their business",False,6,No,,No,3,50,Male,United States of America,Tennessee,White,United States of America,Tennessee,45
41,False,100-500,True,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Physical health,Yes,True,Maybe,False,3.0,6.0,True,True,Some did,"No, I only became aware later",None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",False,False,False,,5.0,2.0,Yes,Yes,True,Yes,Never,Sometimes,No,6,No,"I feel I would be silently discriminated against if I brought up any personal issues, regardless of the legality of that practice.",No,"I feel I would be silently discriminated against if I brought up any personal issues, regardless of the legality of that practice.  Even moreso with mental health issues, than with physical issues.",False,5,Maybe/Not sure,,No,2,41,Male,United States of America,California,White,United States of America,California,45
42,False,26-100,True,True,I don't know,No,No,No,I don't know,Neither easy nor difficult,Same level of comfort for each,No,False,No,False,0.0,0.0,True,True,"No, none did",N/A (was not aware),None did,None did,No,Same level of comfort for each,I don't know,False,False,False,,0.0,0.0,Possibly,Don't Know,False,No,Sometimes,Sometimes,No,3,No,,No,,False,4,"Yes, I observed",burned our employee got fired,No,1,40,male,Croatia,,,Croatia,,45
43,True,,,,,,,,,,,,,,,,,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,True,False,,7.0,0.0,Yes,Yes,True,I don't know,Sometimes,Often,Yes,4,Yes,"Physical issues are easy, everyone believes in them. You can see them, imagine them. Mental issues on the other hand, not so much. My own parents don't believe they're true.",Maybe,"Mental issues aren't as easily ""proven"". An employer might not fully understand what it is, what it entails. He or she might interpret it wrongly, maybe think I'm not capable.",False,4,No,,Maybe/Not sure,1,28,Male,Belgium,,,Belgium,,45
44,False,1-5,True,True,Yes,Yes,No,Yes,Yes,Somewhat difficult,Physical health,Maybe,True,Yes,True,9.0,7.0,True,True,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,True,True,As above,10.0,5.0,No,Possibly,False,No,Not applicable to me,Not applicable to me,Maybe,3,No,Not relevant to my ability to do my job ,Maybe,Likely to be seen as a negative trait.,False,5,No,,No,2,49,Identify as male,United Kingdom,,,Other,,45
45,False,More than 1000,False,True,I don't know,No,No,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,True,Yes,True,3.0,3.0,False,,,,,,,,,,,,,,,Yes,Yes,True,Yes,Sometimes,Often,No,9,No,I don't think this is relevant to an interview in any way unless it would hinder my ability to do the job.,No,This might impact my job performance but it is something I absolutely would not feel comfortable sharing. My medical history is not the business of an interviewer.,False,5,No,,"Yes, I experienced",2,37,Male,United States of America,New York,White,United States of America,New York,45
46,True,,,,,,,,,,,,,,,,,True,True,I don't know,N/A (was not aware),I don't know,Some did,I don't know,Same level of comfort for each,Some of my previous supervisors,False,True,False,,3.0,3.0,Yes,Possibly,True,I don't know,Sometimes,Often,No,7,Maybe,I'm not into lying,Maybe,I'm not into lying,False,3,Maybe/Not sure,,Maybe/Not sure,4,36,m,United States of America,Illinois,White,United States of America,Illinois,45
47,False,6-25,False,True,Yes,Yes,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,True,Yes,True,10.0,10.0,True,False,"Yes, they all did","Yes, I was aware of all of them",None did,None did,Sometimes,Physical health,"No, none of my previous supervisors",False,False,False,,5.0,0.0,Possibly,Yes,True,No,Rarely,Often,No,10,Yes,"My eyesight, in particular, is extremely relevant to my workflow. Treatment of that has been a top priority. ",No,I wod want to see how it is handled within the organization first. ,True,5,"Yes, I experienced",I was illegally terminated from employment over anxiety issues,"Yes, I experienced",1,52,Male,United States of America,Tennessee,White,United States of America,Tennessee,45
48,False,More than 1000,False,True,Yes,Yes,Yes,Yes,I don't know,Very easy,Physical health,Yes,False,Maybe,False,9.0,9.0,True,False,Some did,I was aware of some,Some did,Some did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,6.0,6.0,No,No,False,I don't know,Not applicable to me,Not applicable to me,,8,Yes,If any work environment adaptation is required,Maybe,If any work environment adaptation is required,False,5,No,,No,2,33,,Canada,,,Canada,,45
49,True,,,,,,,,,,,,,,,,,True,True,Some did,"No, I only became aware later",Some did,Some did,I don't know,Physical health,"No, none of my previous supervisors",False,False,True,Coworker talked to me about depression. He thought his depression was impacting his work and wanted me to know.,7.0,3.0,No,No,False,I don't know,Not applicable to me,Not applicable to me,,6,Maybe,"Not all physical health issues need to be discussed. Also, I’m not convinced it wouldn’t be used against me.",No,"Again, could be used against me",False,3,No,,"Yes, I observed",3,54,Female,Canada,,,Canada,,45
50,True,,,,,,,,,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,False,False,,6.0,6.0,Don't Know,No,False,No,Not applicable to me,Not applicable to me,No,7,No,,No,,False,2,No,,No,1,38,Male,United Kingdom,,,United Kingdom,,45
