Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards,Year
CUYAHOGA COUNTY BOARD OF HEALTH,142289581,CLEVELAND,OH,44115,CUYAHOGA,United States of America,Health Department,County Government,"$6,097,725 ",2017
LAKE COUNTY GENERAL HEALTH DISTRICT,93278422,PAINESVILLE,OH,44077,LAKE,United States of America,Health Department,County Government,"$65,854 ",2017
Summit Combined General Health District,605748755,STOW,OH,442242933,SUMMIT,United States of America,Health Department,County Government,"$234,598 ",2017
MetroHealth System,71124291,CLEVELAND,OH,441091998,CUYAHOGA,United States of America,Hospital,County Government,"$1,105,761 ",2017
Fulton County Health Department,963412606,WAUSEON,OH,43567,FULTON,United States of America,Health Department,County Government,"$125,000 ",2017
LUCAS COUNTY HEALTH DEPARTMENT,103033317,TOLEDO,OH,43624,LUCAS,United States of America,Health Department,County Government,"$1,645,088 ",2017
WOOD COUNTY HEALTH DEPARTMENT,782014708,BOWLING GREEN,OH,434029173,WOOD,United States of America,Health Department,County Government,"$1,036,646 ",2017
Mental Health America of Indiana,72033475,INDIANAPOLIS,IN,46202,MARION,United States of America,Other Health Organization,State Government,"$150,000 ",2017
CENTERSTONE OF INDIANA INC,70710942,BLOOMINGTON,IN,47403,MONROE,United States of America,Health Department,County Government,"$2,355,365 ",2017
Porter County Substance Abuse Council,800794877,VALPARAISO,IN,46383,PORTER,United States of America,Other Health Organization,County Government,"$125,000 ",2017
"Madison Cty Com Health Centers, Inc",111886680,ANDERSON,IN,46015,MADISON,United States of America,Other Health Organization,City Government,"($177,396)",2017
Carroll County Health Department,968471636,WESTMINSTER,MD,211575219,CARROLL,United States of America,Health Department,County Government,"$1,000,000 ",2017
IN ST BOARD OF HEALTH,824799407,INDIANAPOLIS,IN,462043003,MARION,United States of America,Health Department,State Government,"$106,865,890 ",2017
IN ST DEPARTMENT OF MENTAL HEALTH,83384771,INDIANAPOLIS,IN,46204,MARION,United States of America,Other Health Organization,State Government,"$42,790,239 ",2017
IN ST PROTECTION & ADVOCACY SERVICE COMMISSION,177603487,INDIANAPOLIS,IN,46205,MARION,United States of America,Other Health Organization,State Government,"$1,519,772 ",2017
WAYNE COUNTY HEALTH DEPARTMENT,798954413,RICHMOND,IN,47374,WAYNE,United States of America,Health Department,County Government,"$1,240,433 ",2017
"BATESVILLE, CITY OF",87438255,BATESVILLE,IN,470061345,RIPLEY,United States of America,Other Health Organization,City Government,"$125,000 ",2017
HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY (THE),52952058,INDIANAPOLIS,IN,462052930,MARION,United States of America,Other Health Organization,County Government,"$11,289,052 ",2017
